name,link,risk
UTI Healthcare Fund Direct Growth,https://groww.in/mutual-funds/uti-pharma-and-healthcare-fund-direct-growth,Very High Risk
UTI Infrastructure Fund Direct Growth,https://groww.in/mutual-funds/uti-infrastructure-fund-direct-growth,Very High Risk
ITI Value Fund Direct Growth,https://groww.in/mutual-funds/iti-value-fund-direct-growth,Very High Risk
Nippon India Quant Fund Retail Direct Growth,https://groww.in/mutual-funds/nippon-india-quant-fund-retail-direct-growth,Very High Risk
Aditya Birla Sun Life Manufacturing Equity Fund Direct Growth,https://groww.in/mutual-funds/birla-sun-life-manufacturing-equity-fund-direct-growth,Very High Risk
ICICI Prudential Exports and Services Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-exports-and-other-services-fund-direct-growth,Very High Risk
Edelweiss Long Term Equity Fund (Tax Savings) Direct Growth,https://groww.in/mutual-funds/edelweiss-elss-fund-direct-growth,Very High Risk
LIC MF Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/lic-mf-equity-fund-direct-growth,Very High Risk
Sundaram Consumption Fund Direct Growth,https://groww.in/mutual-funds/sundaram-rural-india-fund-direct-growth,Very High Risk
Union Focused Fund Direct Growth,https://groww.in/mutual-funds/union-focused-fund-direct-growth,Moderately High Risk
HSBC Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/hsbc-india-opportunities-fund-direct-growth,Very High Risk
Franklin India Equity Advantage Fund Direct Growth,https://groww.in/mutual-funds/franklin-india-flexi-cap-fund-direct-growth,Very High Risk
HSBC Business Cycles Fund Direct Growth,https://groww.in/mutual-funds/hsbc-business-cycles-fund-direct-growth,Very High Risk
ICICI Prudential Business Cycle Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-business-cycle-fund-direct-growth,Very High Risk
Mahindra Manulife Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/mahindra-badhat-yojana-direct-growth,Very High Risk
Bank of India Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/bank-of-india-multi-cap-fund-direct-growth,Very High Risk
Templeton India Value Fund Direct Plan Growth,https://groww.in/mutual-funds/templeton-india-growth-fund-direct-growth,Very High Risk
DSP The Infrastructure Growth and Economic Reforms Regular Fund Direct Growth,https://groww.in/mutual-funds/dsp-blackrock-india-tiger-fund-direct-growth,Very High Risk
Tata India Consumer Fund Direct Growth,https://groww.in/mutual-funds/tata-india-consumer-fund-direct-growth,Very High Risk
Taurus Ethical Fund Direct Growth,https://groww.in/mutual-funds/taurus-ethical-fund-direct-growth,Very High Risk
ICICI Prudential Bharat Consumption Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-bharat-consumption-fund-direct-growth,High Risk
Franklin India Focused Equity Fund Direct Growth,https://groww.in/mutual-funds/franklin-india-high-growth-companies-fund-direct-growth,Very High Risk
Invesco India Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-mid-cap-fund-direct-growth,Very High Risk
Kotak Banking & Financial Services Fund Direct Growth,https://groww.in/mutual-funds/kotak-banking-financial-services-fund-direct-growth,Very High Risk
DSP Healthcare Fund Direct Growth,https://groww.in/mutual-funds/dsp-healthcare-fund-direct-growth,Very High Risk
SBI PSU Direct Plan Growth,https://groww.in/mutual-funds/sbi-psu-fund-direct-growth,Very High Risk
Tata Housing Opportunities Fund Direct Growth,https://groww.in/mutual-funds/tata-housing-opportunities-fund-direct-growth,Very High Risk
Tata Focused Equity Fund Direct Growth,https://groww.in/mutual-funds/tata-focused-equity-fund-direct-growth,Very High Risk
Bandhan Transportation and Logistics Fund Direct Growth,https://groww.in/mutual-funds/idfc-transportation-and-logistics-fund-direct-growth,Very High Risk
Quantum Long Term Equity Value Fund Direct Growth,https://groww.in/mutual-funds/quantum-long-term-equity-fund-direct-growth,Very High Risk
WhiteOak Capital Large Cap Fund Direct Growth,https://groww.in/mutual-funds/whiteoak-capital-large-cap-fund-direct-growth,Very High Risk
HSBC Infrastructure Fund Direct Growth,https://groww.in/mutual-funds/hsbc-infrastructure-fund-direct-growth,Very High Risk
Tata Equity PE Fund Direct Growth,https://groww.in/mutual-funds/tata-equity-pe-fund-direct-growth,Very High Risk
HDFC Capital Builder Value Fund Direct Plan Growth,https://groww.in/mutual-funds/hdfc-capital-builder-fund-direct-growth,Very High Risk
Axis Quant Fund Direct Growth,https://groww.in/mutual-funds/axis-quant-fund-direct-growth,Very High Risk
Baroda BNP Paribas Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/baroda-bnp-paribas-flexi-cap-fund-direct-growth,Very High Risk
Canara Robeco Infrastructure Direct Growth,https://groww.in/mutual-funds/canara-robeco-infrastructure-fund-direct-growth,Very High Risk
Kotak Pioneer Fund Direct Growth,https://groww.in/mutual-funds/kotak-pioneer-fund-direct-growth,Very High Risk
Axis Special Situations Fund Direct Growth,https://groww.in/mutual-funds/axis-special-situations-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Banking & Financial Services Fund Direct Growth,https://groww.in/mutual-funds/birla-sun-life-banking-and-financial-services-fund-direct-growth,Very High Risk
LIC MF Infrastructure Fund Direct Growth,https://groww.in/mutual-funds/lic-mf-infrastructure-fund-direct-growth,Very High Risk
UTI Focused Equity Fund Direct Growth,https://groww.in/mutual-funds/uti-focused-equity-fund-direct-growth,Very High Risk
Nippon India Vision Direct Growth,https://groww.in/mutual-funds/nippon-india-vision-direct-growth,Very High Risk
Tata Dividend Yield Fund Direct Growth,https://groww.in/mutual-funds/tata-dividend-yield-fund-direct-growth,Very High Risk
Bank of India Tax Advantage Direct Growth,https://groww.in/mutual-funds/boi-axa-tax-advantage-fund-direct-growth,Very High Risk
IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth,https://groww.in/mutual-funds/iifl-elss-nifty-50-tax-saver-index-fund-direct-growth,Very High Risk
Bank of India Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/boi-axa-multi-cap-fund-direct-growth,Very High Risk
UTI Long Term Equity Fund Direct Growth,https://groww.in/mutual-funds/uti-long-term-equity-fund-tax-saving-direct-growth,Very High Risk
Navi Large & Midcap Fund Direct Growth,https://groww.in/mutual-funds/navi-large-midcap-fund-direct-growth,Very High Risk
Samco Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/samco-flexi-cap-fund-direct-growth,Very High Risk
Bandhan Emerging Businesses Fund Direct Growth,https://groww.in/mutual-funds/idfc-emerging-businesses-fund-direct-growth,Very High Risk
Invesco India Largecap Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-business-leaders-fund-direct-growth,Very High Risk
