Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
PCBL Ltd.,Chemicals,Equity,411.523,DSP Value Fund Direct Growth
KNR Constructions Ltd.,Construction,Equity,411.523,DSP Value Fund Direct Growth
eClerx Services Ltd.,Services,Equity,352.734,DSP Value Fund Direct Growth
Gujarat Ambuja Exports Ltd.,Consumer Staples,Equity,352.734,DSP Value Fund Direct Growth
Pfizer Ltd.,Healthcare,Equity,293.945,DSP Value Fund Direct Growth
Aarti Drugs Ltd.,Healthcare,Equity,235.156,DSP Value Fund Direct Growth
Punjab National Bank,Financial,Equity,235.156,DSP Value Fund Direct Growth
Balaji Amines Ltd.,Chemicals,Equity,176.367,DSP Value Fund Direct Growth
HDFC Bank Ltd.,Financial,Equity,176.367,DSP Value Fund Direct Growth
Tata Power Company Ltd.,Energy,Equity,117.578,DSP Value Fund Direct Growth
Housing Development Finance Corporation Ltd.,Financial,Equity,117.578,DSP Value Fund Direct Growth
Tata Consultancy Services Ltd.,Technology,Equity,117.578,DSP Value Fund Direct Growth
Bharti Airtel Ltd.,Communication,Equity,117.578,DSP Value Fund Direct Growth
Laurus Labs Ltd.,Healthcare,Equity,58.789,DSP Value Fund Direct Growth
Jindal Steel & Power Ltd.,Metals & Mining,Equity,58.789,DSP Value Fund Direct Growth
Bajaj Finance Ltd.,Financial,Equity,240271.03,Axis Long Term Equity Direct Plan Growth
Avenue Supermarts Ltd.,Services,Equity,237444.312,Axis Long Term Equity Direct Plan Growth
Tata Consultancy Services Ltd.,Technology,Equity,226137.44,Axis Long Term Equity Direct Plan Growth
Kotak Mahindra Bank Ltd.,Financial,Equity,212003.85,Axis Long Term Equity Direct Plan Growth
Nestle India Ltd.,Consumer Staples,Equity,197870.26,Axis Long Term Equity Direct Plan Growth
Housing Development Finance Corporation Ltd.,Financial,Equity,161122.926,Axis Long Term Equity Direct Plan Growth
Info Edge (India) Ltd.,Services,Equity,158296.20799999998,Axis Long Term Equity Direct Plan Growth
Pidilite Industries Ltd.,Chemicals,Equity,152642.772,Axis Long Term Equity Direct Plan Growth
Torrent Power Ltd.,Energy,Equity,132855.746,Axis Long Term Equity Direct Plan Growth
Shree Cement Ltd.,Construction,Equity,115895.438,Axis Long Term Equity Direct Plan Growth
Divi's Laboratories Ltd.,Healthcare,Equity,113068.72,Axis Long Term Equity Direct Plan Growth
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,110242.002,Axis Long Term Equity Direct Plan Growth
PI Industries Ltd.,Chemicals,Equity,98935.13,Axis Long Term Equity Direct Plan Growth
HDFC Bank Ltd.,Financial,Equity,73494.668,Axis Long Term Equity Direct Plan Growth
