Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
HDFC Bank Ltd.,Financial,Equity,43103.214,UTI Mastershare Direct Growth
Tata Consultancy Services Ltd.,Technology,Equity,35919.345,UTI Mastershare Direct Growth
Maruti Suzuki India Ltd.,Automobile,Equity,30788.01,UTI Mastershare Direct Growth
Kotak Mahindra Bank Ltd.,Financial,Equity,28735.476,UTI Mastershare Direct Growth
Larsen & Toubro Ltd.,Construction,Equity,24630.408,UTI Mastershare Direct Growth
Bajaj Finance Ltd.,Financial,Equity,23604.141,UTI Mastershare Direct Growth
Ultratech Cement Ltd.,Construction,Equity,22577.874000000003,UTI Mastershare Direct Growth
Avenue Supermarts Ltd.,Services,Equity,20525.34,UTI Mastershare Direct Growth
LTIMindtree Ltd.,Technology,Equity,19499.073,UTI Mastershare Direct Growth
Eicher Motors Ltd.,Automobile,Equity,19499.073,UTI Mastershare Direct Growth
SKF India Ltd.,Capital Goods,Equity,18472.806,UTI Mastershare Direct Growth
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,17446.539,UTI Mastershare Direct Growth
Asian Paints Ltd.,Chemicals,Equity,16420.272,UTI Mastershare Direct Growth
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,16420.272,UTI Mastershare Direct Growth
State Bank of India,Financial,Equity,14367.738,UTI Mastershare Direct Growth
Havells India Ltd.,Capital Goods,Equity,13341.471,UTI Mastershare Direct Growth
Tata Motors Ltd.,Automobile,Equity,12315.204,UTI Mastershare Direct Growth
Aditya Birla Fashion and Retail Ltd.,Services,Equity,11288.937000000002,UTI Mastershare Direct Growth
NTPC Ltd.,Energy,Equity,11288.937000000002,UTI Mastershare Direct Growth
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,11288.937000000002,UTI Mastershare Direct Growth
Samvardhana Motherson International Ltd.,Automobile,Equity,10262.67,UTI Mastershare Direct Growth
Balkrishna Industries Ltd.,Automobile,Equity,10262.67,UTI Mastershare Direct Growth
United Breweries Ltd.,Consumer Staples,Equity,10262.67,UTI Mastershare Direct Growth
Tech Mahindra Ltd.,Technology,Equity,10262.67,UTI Mastershare Direct Growth
Jubilant FoodWorks Ltd.,Services,Equity,9236.403,UTI Mastershare Direct Growth
Tata Steel Ltd.,Metals & Mining,Equity,9236.403,UTI Mastershare Direct Growth
Divi's Laboratories Ltd.,Healthcare,Equity,8210.136,UTI Mastershare Direct Growth
Metropolis Healthcare Ltd.,Healthcare,Equity,8210.136,UTI Mastershare Direct Growth
Pidilite Industries Ltd.,Chemicals,Equity,7183.869,UTI Mastershare Direct Growth
Motherson Sumi Wiring India Ltd.,Automobile,Equity,6157.602,UTI Mastershare Direct Growth
Blue Star Ltd.,Consumer Discretionary,Equity,6157.602,UTI Mastershare Direct Growth
Mphasis Ltd.,Technology,Equity,6157.602,UTI Mastershare Direct Growth
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,6157.602,UTI Mastershare Direct Growth
United Spirits Ltd.,Consumer Staples,Equity,5131.335,UTI Mastershare Direct Growth
FSN E-Commerce Ventures Ltd.,Services,Equity,5131.335,UTI Mastershare Direct Growth
Bajaj Auto Ltd.,Automobile,Equity,3078.801,UTI Mastershare Direct Growth
Zomato Ltd.,Services,Equity,2052.534,UTI Mastershare Direct Growth
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,2052.534,UTI Mastershare Direct Growth
Indian Energy Exchange Ltd.,Services,Equity,2052.534,UTI Mastershare Direct Growth
HDFC Bank Ltd.,Financial,Equity,10303.821,Bandhan Large Cap Fund Direct Growth
Reliance Industries Ltd.,Energy,Equity,9679.347,Bandhan Large Cap Fund Direct Growth
Infosys Ltd.,Technology,Equity,5828.423999999999,Bandhan Large Cap Fund Direct Growth
ITC Ltd.,Consumer Staples,Equity,4267.239,Bandhan Large Cap Fund Direct Growth
Housing Development Finance Corporation Ltd.,Financial,Equity,3850.923,Bandhan Large Cap Fund Direct Growth
Anupam Rasayan India Ltd.,Chemicals,Equity,3122.37,Bandhan Large Cap Fund Direct Growth
Tata Consultancy Services Ltd.,Technology,Equity,3122.37,Bandhan Large Cap Fund Direct Growth
Larsen & Toubro Ltd.,Construction,Equity,3018.291,Bandhan Large Cap Fund Direct Growth
Indusind Bank Ltd.,Financial,Equity,2810.1330000000003,Bandhan Large Cap Fund Direct Growth
Ultratech Cement Ltd.,Construction,Equity,2601.975,Bandhan Large Cap Fund Direct Growth
LTIMindtree Ltd.,Technology,Equity,2289.7380000000003,Bandhan Large Cap Fund Direct Growth
Rossari Biotech Ltd.,Chemicals,Equity,2289.7380000000003,Bandhan Large Cap Fund Direct Growth
State Bank of India,Financial,Equity,2081.58,Bandhan Large Cap Fund Direct Growth
Bharti Airtel Ltd.,Communication,Equity,2081.58,Bandhan Large Cap Fund Direct Growth
Kotak Mahindra Bank Ltd.,Financial,Equity,1873.422,Bandhan Large Cap Fund Direct Growth
ABB India Ltd.,Capital Goods,Equity,1665.264,Bandhan Large Cap Fund Direct Growth
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1561.185,Bandhan Large Cap Fund Direct Growth
Maruti Suzuki India Ltd.,Automobile,Equity,1457.1059999999998,Bandhan Large Cap Fund Direct Growth
Asian Paints Ltd.,Chemicals,Equity,1457.1059999999998,Bandhan Large Cap Fund Direct Growth
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1248.948,Bandhan Large Cap Fund Direct Growth
L&T Technology Services Ltd.,Technology,Equity,1248.948,Bandhan Large Cap Fund Direct Growth
Siemens Ltd.,Capital Goods,Equity,1144.869,Bandhan Large Cap Fund Direct Growth
NTPC Ltd.,Energy,Equity,1144.869,Bandhan Large Cap Fund Direct Growth
Hindalco Industries Ltd.,Metals & Mining,Equity,1144.869,Bandhan Large Cap Fund Direct Growth
Tata Steel Ltd.,Metals & Mining,Equity,1144.869,Bandhan Large Cap Fund Direct Growth
Tech Mahindra Ltd.,Technology,Equity,1144.869,Bandhan Large Cap Fund Direct Growth
Cummins India Ltd.,Capital Goods,Equity,1040.79,Bandhan Large Cap Fund Direct Growth
TVS Motor Company Ltd.,Automobile,Equity,1040.79,Bandhan Large Cap Fund Direct Growth
Tata Motors Ltd.,Automobile,Equity,1040.79,Bandhan Large Cap Fund Direct Growth
Britannia Industries Ltd.,Consumer Staples,Equity,1040.79,Bandhan Large Cap Fund Direct Growth
Bajaj Finance Ltd.,Financial,Equity,936.711,Bandhan Large Cap Fund Direct Growth
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,624.4739999999999,Bandhan Large Cap Fund Direct Growth
Samvardhana Motherson International Ltd.,Automobile,Equity,520.395,Bandhan Large Cap Fund Direct Growth
Bharat Forge Ltd.,Automobile,Equity,520.395,Bandhan Large Cap Fund Direct Growth
Tata Power Company Ltd.,Energy,Equity,520.395,Bandhan Large Cap Fund Direct Growth
IDBI Bank Ltd.,Financial,CD,982.7,Bank of India Multi Cap Fund Direct Growth
NTPC Ltd.,Energy,Equity,609.274,Bank of India Multi Cap Fund Direct Growth
State Bank of India,Financial,Equity,511.004,Bank of India Multi Cap Fund Direct Growth
Larsen & Toubro Ltd.,Construction,Equity,452.042,Bank of India Multi Cap Fund Direct Growth
Bharti Airtel Ltd.,Communication,Equity,432.388,Bank of India Multi Cap Fund Direct Growth
Infosys Ltd.,Technology,Equity,412.734,Bank of India Multi Cap Fund Direct Growth
Power Grid Corporation Of India Ltd.,Energy,Equity,412.734,Bank of India Multi Cap Fund Direct Growth
Ashok Leyland Ltd.,Automobile,Equity,412.734,Bank of India Multi Cap Fund Direct Growth
Sundram Fasteners Ltd.,Capital Goods,Equity,393.08,Bank of India Multi Cap Fund Direct Growth
Hindustan Aeronautics Ltd.,Capital Goods,Equity,353.772,Bank of India Multi Cap Fund Direct Growth
Sundaram Finance Ltd.,Financial,Equity,353.772,Bank of India Multi Cap Fund Direct Growth
Bank Of Baroda,Financial,Equity,353.772,Bank of India Multi Cap Fund Direct Growth
Indraprastha Gas Ltd.,Energy,Equity,353.772,Bank of India Multi Cap Fund Direct Growth
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,334.118,Bank of India Multi Cap Fund Direct Growth
Bharat Forge Ltd.,Automobile,Equity,314.464,Bank of India Multi Cap Fund Direct Growth
United Breweries Ltd.,Consumer Staples,Equity,314.464,Bank of India Multi Cap Fund Direct Growth
Persistent Systems Ltd.,Technology,Equity,314.464,Bank of India Multi Cap Fund Direct Growth
Gujarat Gas Ltd.,Energy,Equity,314.464,Bank of India Multi Cap Fund Direct Growth
Canara Bank,Financial,Equity,294.81,Bank of India Multi Cap Fund Direct Growth
Eicher Motors Ltd.,Automobile,Equity,275.15599999999995,Bank of India Multi Cap Fund Direct Growth
Jamna Auto Industries Ltd.,Automobile,Equity,275.15599999999995,Bank of India Multi Cap Fund Direct Growth
Ajanta Pharma Ltd.,Healthcare,Equity,275.15599999999995,Bank of India Multi Cap Fund Direct Growth
VIP Industries Ltd.,Chemicals,Equity,255.502,Bank of India Multi Cap Fund Direct Growth
Cera Sanitaryware Ltd.,Construction,Equity,255.502,Bank of India Multi Cap Fund Direct Growth
Indian Energy Exchange Ltd.,Services,Equity,235.848,Bank of India Multi Cap Fund Direct Growth
Rail Vikas Nigam Ltd.,Construction,Equity,216.194,Bank of India Multi Cap Fund Direct Growth
JK Cement Ltd.,Construction,Equity,216.194,Bank of India Multi Cap Fund Direct Growth
ITD Cementation India Ltd.,Construction,Equity,196.54,Bank of India Multi Cap Fund Direct Growth
PSP Projects Ltd.,Construction,Equity,157.232,Bank of India Multi Cap Fund Direct Growth
TVS Motor Company Ltd.,Automobile,Equity,98.27,Bank of India Multi Cap Fund Direct Growth
Apollo Tyres Ltd.,Automobile,Equity,98.27,Bank of India Multi Cap Fund Direct Growth
AIA Engineering Ltd.,Metals & Mining,Equity,58.962,Bank of India Multi Cap Fund Direct Growth
HDFC Bank Ltd.,Financial,Equity,1083.102,Bank of India Bluechip Fund Direct Growth
Infosys Ltd.,Technology,Equity,647.6279999999999,Bank of India Bluechip Fund Direct Growth
Reliance Industries Ltd.,Energy,Equity,502.47,Bank of India Bluechip Fund Direct Growth
State Bank of India,Financial,Equity,491.304,Bank of India Bluechip Fund Direct Growth
Larsen & Toubro Ltd.,Construction,Equity,480.138,Bank of India Bluechip Fund Direct Growth
Tata Consultancy Services Ltd.,Technology,Equity,435.474,Bank of India Bluechip Fund Direct Growth
NTPC Ltd.,Energy,Equity,401.976,Bank of India Bluechip Fund Direct Growth
ITC Ltd.,Consumer Staples,Equity,401.976,Bank of India Bluechip Fund Direct Growth
Bank Of Baroda,Financial,Equity,368.478,Bank of India Bluechip Fund Direct Growth
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,301.482,Bank of India Bluechip Fund Direct Growth
Kotak Mahindra Bank Ltd.,Financial,Equity,279.15,Bank of India Bluechip Fund Direct Growth
Eicher Motors Ltd.,Automobile,Equity,267.984,Bank of India Bluechip Fund Direct Growth
SBI Life Insurance Company Ltd.,Insurance,Equity,223.32,Bank of India Bluechip Fund Direct Growth
Power Grid Corporation Of India Ltd.,Energy,Equity,223.32,Bank of India Bluechip Fund Direct Growth
Bajaj Finance Ltd.,Financial,Equity,223.32,Bank of India Bluechip Fund Direct Growth
Bharti Airtel Ltd.,Communication,Equity,212.154,Bank of India Bluechip Fund Direct Growth
Maruti Suzuki India Ltd.,Automobile,Equity,212.154,Bank of India Bluechip Fund Direct Growth
Kaynes Technology India Ltd.,Capital Goods,Equity,200.988,Bank of India Bluechip Fund Direct Growth
Hindustan Aeronautics Ltd.,Capital Goods,Equity,200.988,Bank of India Bluechip Fund Direct Growth
Coal India Ltd.,Energy,Equity,178.656,Bank of India Bluechip Fund Direct Growth
Siemens Ltd.,Capital Goods,Equity,145.158,Bank of India Bluechip Fund Direct Growth
DLF Ltd.,Construction,Equity,145.158,Bank of India Bluechip Fund Direct Growth
Tata Steel Ltd.,Metals & Mining,Equity,122.826,Bank of India Bluechip Fund Direct Growth
Ambuja Cements Ltd.,Construction,Equity,122.826,Bank of India Bluechip Fund Direct Growth
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,111.66,Bank of India Bluechip Fund Direct Growth
Ultratech Cement Ltd.,Construction,Equity,78.16199999999999,Bank of India Bluechip Fund Direct Growth
Housing Development Finance Corporation Ltd.,Financial,Equity,66.996,Bank of India Bluechip Fund Direct Growth
ITC Ltd.,Consumer Staples,Equity,18070.293,Mirae Asset Great Consumer Fund Direct Growth
Maruti Suzuki India Ltd.,Automobile,Equity,10354.887,Mirae Asset Great Consumer Fund Direct Growth
Bharti Airtel Ltd.,Communication,Equity,9948.813,Mirae Asset Great Consumer Fund Direct Growth
HDFC Bank Ltd.,Financial,Equity,8121.48,Mirae Asset Great Consumer Fund Direct Growth
United Spirits Ltd.,Consumer Staples,Equity,7918.442999999999,Mirae Asset Great Consumer Fund Direct Growth
Nestle India Ltd.,Consumer Staples,Equity,7512.369,Mirae Asset Great Consumer Fund Direct Growth
Britannia Industries Ltd.,Consumer Staples,Equity,7309.331999999999,Mirae Asset Great Consumer Fund Direct Growth
Tata Motors Ltd.,Automobile,Equity,7106.295,Mirae Asset Great Consumer Fund Direct Growth
TVS Motor Company Ltd.,Automobile,Equity,6497.184,Mirae Asset Great Consumer Fund Direct Growth
Dabur India Ltd.,Consumer Staples,Equity,6294.147,Mirae Asset Great Consumer Fund Direct Growth
Havells India Ltd.,Capital Goods,Equity,6091.11,Mirae Asset Great Consumer Fund Direct Growth
PB Fintech Ltd.,Services,Equity,4872.888,Mirae Asset Great Consumer Fund Direct Growth
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,4669.851,Mirae Asset Great Consumer Fund Direct Growth
Westlife Foodworld Ltd.,Services,Equity,4669.851,Mirae Asset Great Consumer Fund Direct Growth
Asian Paints Ltd.,Chemicals,Equity,4466.814,Mirae Asset Great Consumer Fund Direct Growth
Ceat Ltd.,Automobile,Equity,4263.777,Mirae Asset Great Consumer Fund Direct Growth
Emami Ltd.,Consumer Staples,Equity,3654.666,Mirae Asset Great Consumer Fund Direct Growth
Go Fashion (India) Ltd.,Services,Equity,3654.666,Mirae Asset Great Consumer Fund Direct Growth
Sapphire Foods India Ltd.,Services,Equity,3045.555,Mirae Asset Great Consumer Fund Direct Growth
Electronics Mart India Ltd.,Services,Equity,2436.444,Mirae Asset Great Consumer Fund Direct Growth
Greenply Industries Ltd.,Consumer Staples,Equity,2233.407,Mirae Asset Great Consumer Fund Direct Growth
Century Plyboards (India) Ltd.,Consumer Staples,Equity,2233.407,Mirae Asset Great Consumer Fund Direct Growth
Avenue Supermarts Ltd.,Services,Equity,2233.407,Mirae Asset Great Consumer Fund Direct Growth
Vedant Fashions Ltd.,Services,Equity,1827.333,Mirae Asset Great Consumer Fund Direct Growth
FSN E-Commerce Ventures Ltd.,Services,Equity,1421.2589999999998,Mirae Asset Great Consumer Fund Direct Growth
Housing Development Finance Corporation Ltd.,Financial,Equity,898.436,Quantum Tax Saving Fund Direct Growth
HDFC Bank Ltd.,Financial,Equity,723.416,Quantum Tax Saving Fund Direct Growth
Infosys Ltd.,Technology,Equity,653.408,Quantum Tax Saving Fund Direct Growth
State Bank of India,Financial,Equity,536.728,Quantum Tax Saving Fund Direct Growth
Bajaj Auto Ltd.,Automobile,Equity,466.72,Quantum Tax Saving Fund Direct Growth
Eicher Motors Ltd.,Automobile,Equity,455.052,Quantum Tax Saving Fund Direct Growth
Wipro Ltd.,Technology,Equity,455.052,Quantum Tax Saving Fund Direct Growth
Tech Mahindra Ltd.,Technology,Equity,443.384,Quantum Tax Saving Fund Direct Growth
Tata Consultancy Services Ltd.,Technology,Equity,420.04800000000006,Quantum Tax Saving Fund Direct Growth
Bharti Airtel Ltd.,Communication,Equity,385.044,Quantum Tax Saving Fund Direct Growth
NTPC Ltd.,Energy,Equity,385.044,Quantum Tax Saving Fund Direct Growth
Hero Motocorp Ltd.,Automobile,Equity,373.376,Quantum Tax Saving Fund Direct Growth
Tata Steel Ltd.,Metals & Mining,Equity,303.36800000000005,Quantum Tax Saving Fund Direct Growth
LIC Housing Finance Ltd.,Financial,Equity,256.696,Quantum Tax Saving Fund Direct Growth
Gujarat State Petronet Ltd.,Energy,Equity,233.36,Quantum Tax Saving Fund Direct Growth
Lupin Ltd.,Healthcare,Equity,221.692,Quantum Tax Saving Fund Direct Growth
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,221.692,Quantum Tax Saving Fund Direct Growth
Indusind Bank Ltd.,Financial,Equity,210.02400000000003,Quantum Tax Saving Fund Direct Growth
ICICI Securities Ltd.,Financial,Equity,186.688,Quantum Tax Saving Fund Direct Growth
Exide Industries Ltd.,Capital Goods,Equity,151.68400000000003,Quantum Tax Saving Fund Direct Growth
Aditya Birla Sun Life AMC Ltd.,Financial,Equity,151.68400000000003,Quantum Tax Saving Fund Direct Growth
Cummins India Ltd.,Capital Goods,Equity,128.348,Quantum Tax Saving Fund Direct Growth
HDFC Bank Ltd.,Financial,Equity,22794.696,Axis Multicap Fund Direct Growth
Persistent Systems Ltd.,Technology,Equity,15618.588,Axis Multicap Fund Direct Growth
The Phoenix Mills Ltd.,Construction,Equity,14352.216,Axis Multicap Fund Direct Growth
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,14352.216,Axis Multicap Fund Direct Growth
Infosys Ltd.,Technology,Equity,13930.092,Axis Multicap Fund Direct Growth
Sundaram Finance Ltd.,Financial,Equity,13930.092,Axis Multicap Fund Direct Growth
Bajaj Finance Ltd.,Financial,Equity,12241.596,Axis Multicap Fund Direct Growth
Blue Star Ltd.,Consumer Discretionary,Equity,11819.471999999998,Axis Multicap Fund Direct Growth
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,11819.471999999998,Axis Multicap Fund Direct Growth
Birlasoft Ltd.,Technology,Equity,10975.224,Axis Multicap Fund Direct Growth
Brigade Enterprises Ltd.,Construction,Equity,10553.1,Axis Multicap Fund Direct Growth
State Bank of India,Financial,Equity,8020.355999999999,Axis Multicap Fund Direct Growth
Narayana Hrudayalaya Ltd.,Healthcare,Equity,8020.355999999999,Axis Multicap Fund Direct Growth
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,7598.232,Axis Multicap Fund Direct Growth
Fortis Healthcare Ltd.,Healthcare,Equity,7598.232,Axis Multicap Fund Direct Growth
Mphasis Ltd.,Technology,Equity,7176.107999999999,Axis Multicap Fund Direct Growth
Asian Paints Ltd.,Chemicals,Equity,7176.107999999999,Axis Multicap Fund Direct Growth
Larsen & Toubro Ltd.,Construction,Equity,7176.107999999999,Axis Multicap Fund Direct Growth
TVS Motor Company Ltd.,Automobile,Equity,7176.107999999999,Axis Multicap Fund Direct Growth
CCL Products (India) Ltd.,Consumer Staples,Equity,6753.984,Axis Multicap Fund Direct Growth
Coforge Ltd.,Technology,Equity,6331.86,Axis Multicap Fund Direct Growth
Tata Consultancy Services Ltd.,Technology,Equity,5487.612,Axis Multicap Fund Direct Growth
Go Fashion (India) Ltd.,Services,Equity,5487.612,Axis Multicap Fund Direct Growth
UNO Minda Ltd.,Automobile,Equity,5487.612,Axis Multicap Fund Direct Growth
Fine Organic Industries Ltd.,Chemicals,Equity,5065.487999999999,Axis Multicap Fund Direct Growth
City Union Bank Ltd.,Financial,Equity,4643.3640000000005,Axis Multicap Fund Direct Growth
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,4221.24,Axis Multicap Fund Direct Growth
Ultratech Cement Ltd.,Construction,Equity,3799.116,Axis Multicap Fund Direct Growth
Motherson Sumi Wiring India Ltd.,Automobile,Equity,3376.992,Axis Multicap Fund Direct Growth
Can Fin Homes Ltd.,Financial,Equity,2532.744,Axis Multicap Fund Direct Growth
Cholamandalam Financial Holdings Ltd.,Financial,Equity,2532.744,Axis Multicap Fund Direct Growth
Orient Electric Ltd.,Consumer Discretionary,Equity,2532.744,Axis Multicap Fund Direct Growth
Vedant Fashions Ltd.,Services,Equity,2532.744,Axis Multicap Fund Direct Growth
SRF Ltd.,Diversified,Equity,1688.496,Axis Multicap Fund Direct Growth
The Ramco Cements Ltd.,Construction,Equity,1688.496,Axis Multicap Fund Direct Growth
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1266.3719999999998,Axis Multicap Fund Direct Growth
Ipca Laboratories Ltd.,Healthcare,Equity,1266.3719999999998,Axis Multicap Fund Direct Growth
Aether Industries Ltd.,Chemicals,Equity,1266.3719999999998,Axis Multicap Fund Direct Growth
JK Cement Ltd.,Construction,Equity,1266.3719999999998,Axis Multicap Fund Direct Growth
Jamna Auto Industries Ltd.,Automobile,Equity,844.248,Axis Multicap Fund Direct Growth
Global Health Ltd.,Healthcare,Equity,844.248,Axis Multicap Fund Direct Growth
Infosys Ltd.,Technology,Equity,32646.284,SBI Magnum Equity ESG Fund Direct Plan Growth
Tata Consultancy Services Ltd.,Technology,Equity,31322.786,SBI Magnum Equity ESG Fund Direct Plan Growth
Housing Development Finance Corporation Ltd.,Financial,Equity,27793.458,SBI Magnum Equity ESG Fund Direct Plan Growth
Larsen & Toubro Ltd.,Construction,Equity,19411.304,SBI Magnum Equity ESG Fund Direct Plan Growth
Ultratech Cement Ltd.,Construction,Equity,18087.806,SBI Magnum Equity ESG Fund Direct Plan Growth
State Bank of India,Financial,Equity,14558.478,SBI Magnum Equity ESG Fund Direct Plan Growth
Britannia Industries Ltd.,Consumer Staples,Equity,13676.146,SBI Magnum Equity ESG Fund Direct Plan Growth
ABB India Ltd.,Capital Goods,Equity,13234.98,SBI Magnum Equity ESG Fund Direct Plan Growth
Maruti Suzuki India Ltd.,Automobile,Equity,13234.98,SBI Magnum Equity ESG Fund Direct Plan Growth
TVS Motor Company Ltd.,Automobile,Equity,11911.482,SBI Magnum Equity ESG Fund Direct Plan Growth
Cummins India Ltd.,Capital Goods,Equity,11470.316,SBI Magnum Equity ESG Fund Direct Plan Growth
HDFC Bank Ltd.,Financial,Equity,11470.316,SBI Magnum Equity ESG Fund Direct Plan Growth
Kotak Mahindra Bank Ltd.,Financial,Equity,8823.32,SBI Magnum Equity ESG Fund Direct Plan Growth
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,8382.153999999999,SBI Magnum Equity ESG Fund Direct Plan Growth
Asian Paints Ltd.,Chemicals,Equity,7940.988,SBI Magnum Equity ESG Fund Direct Plan Growth
Hindalco Industries Ltd.,Metals & Mining,Equity,7940.988,SBI Magnum Equity ESG Fund Direct Plan Growth
Sona BLW Precision Forgings Ltd.,Automobile,Equity,7499.821999999999,SBI Magnum Equity ESG Fund Direct Plan Growth
Divi's Laboratories Ltd.,Healthcare,Equity,7058.656,SBI Magnum Equity ESG Fund Direct Plan Growth
L&T Technology Services Ltd.,Technology,Equity,6617.49,SBI Magnum Equity ESG Fund Direct Plan Growth
Timken India Ltd.,Capital Goods,Equity,6176.324,SBI Magnum Equity ESG Fund Direct Plan Growth
Jubilant FoodWorks Ltd.,Services,Equity,6176.324,SBI Magnum Equity ESG Fund Direct Plan Growth
HDFC Asset Management Company Ltd.,Financial,Equity,6176.324,SBI Magnum Equity ESG Fund Direct Plan Growth
FSN E-Commerce Ventures Ltd.,Services,Equity,5735.158,SBI Magnum Equity ESG Fund Direct Plan Growth
Tech Mahindra Ltd.,Technology,Equity,5735.158,SBI Magnum Equity ESG Fund Direct Plan Growth
PVR Ltd.,Services,Equity,5293.991999999999,SBI Magnum Equity ESG Fund Direct Plan Growth
Reliance Industries Ltd.,Energy,Equity,5293.991999999999,SBI Magnum Equity ESG Fund Direct Plan Growth
Brigade Enterprises Ltd.,Construction,Equity,4852.826,SBI Magnum Equity ESG Fund Direct Plan Growth
Global Health Ltd.,Healthcare,Equity,8332.016,Motilal Oswal Large and Midcap Fund Direct Growth
Fortis Healthcare Ltd.,Healthcare,Equity,6844.155999999999,Motilal Oswal Large and Midcap Fund Direct Growth
Housing Development Finance Corporation Ltd.,Financial,Equity,5802.654,Motilal Oswal Large and Midcap Fund Direct Growth
The Federal Bank Ltd.,Financial,Equity,5653.868,Motilal Oswal Large and Midcap Fund Direct Growth
Carborundum Universal Ltd.,Metals & Mining,Equity,4761.152,Motilal Oswal Large and Midcap Fund Direct Growth
Indusind Bank Ltd.,Financial,Equity,4612.366,Motilal Oswal Large and Midcap Fund Direct Growth
Ultratech Cement Ltd.,Construction,Equity,4463.58,Motilal Oswal Large and Midcap Fund Direct Growth
State Bank of India,Financial,Equity,4166.008,Motilal Oswal Large and Midcap Fund Direct Growth
Jubilant FoodWorks Ltd.,Services,Equity,4166.008,Motilal Oswal Large and Midcap Fund Direct Growth
Bharat Forge Ltd.,Automobile,Equity,4166.008,Motilal Oswal Large and Midcap Fund Direct Growth
Gujarat Gas Ltd.,Energy,Equity,4017.222,Motilal Oswal Large and Midcap Fund Direct Growth
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,4017.222,Motilal Oswal Large and Midcap Fund Direct Growth
Cummins India Ltd.,Capital Goods,Equity,4017.222,Motilal Oswal Large and Midcap Fund Direct Growth
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,3719.65,Motilal Oswal Large and Midcap Fund Direct Growth
Dalmia Bharat Ltd.,Construction,Equity,3570.864,Motilal Oswal Large and Midcap Fund Direct Growth
TVS Motor Company Ltd.,Automobile,Equity,3422.0779999999995,Motilal Oswal Large and Midcap Fund Direct Growth
Infosys Ltd.,Technology,Equity,3422.0779999999995,Motilal Oswal Large and Midcap Fund Direct Growth
Divgi TorqTransfer Systems Ltd.,Automobile,Equity,3124.506,Motilal Oswal Large and Midcap Fund Direct Growth
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,2975.72,Motilal Oswal Large and Midcap Fund Direct Growth
KSB Ltd.,Capital Goods,Equity,2826.934,Motilal Oswal Large and Midcap Fund Direct Growth
Max Financial Services Ltd.,Financial,Equity,2826.934,Motilal Oswal Large and Midcap Fund Direct Growth
United Breweries Ltd.,Consumer Staples,Equity,2826.934,Motilal Oswal Large and Midcap Fund Direct Growth
Medplus Health Services Ltd.,Healthcare,Equity,2826.934,Motilal Oswal Large and Midcap Fund Direct Growth
Archean Chemical Industries Ltd.,Chemicals,Equity,2678.148,Motilal Oswal Large and Midcap Fund Direct Growth
Havells India Ltd.,Capital Goods,Equity,2083.004,Motilal Oswal Large and Midcap Fund Direct Growth
Maruti Suzuki India Ltd.,Automobile,Equity,31394.048,ICICI Prudential Transportation and Logistics Fund Direct Growth
Tata Motors Ltd.,Automobile,Equity,22564.472,ICICI Prudential Transportation and Logistics Fund Direct Growth
TVS Motor Company Ltd.,Automobile,Equity,19866.546,ICICI Prudential Transportation and Logistics Fund Direct Growth
Eicher Motors Ltd.,Automobile,Equity,18885.482,ICICI Prudential Transportation and Logistics Fund Direct Growth
Ashok Leyland Ltd.,Automobile,Equity,17659.152,ICICI Prudential Transportation and Logistics Fund Direct Growth
Hero Motocorp Ltd.,Automobile,Equity,10055.906,ICICI Prudential Transportation and Logistics Fund Direct Growth
Bajaj Auto Ltd.,Automobile,Equity,8093.777999999999,ICICI Prudential Transportation and Logistics Fund Direct Growth
UNO Minda Ltd.,Automobile,Equity,7357.98,ICICI Prudential Transportation and Logistics Fund Direct Growth
Samvardhana Motherson International Ltd.,Automobile,Equity,7357.98,ICICI Prudential Transportation and Logistics Fund Direct Growth
Zomato Ltd.,Services,Equity,6622.182,ICICI Prudential Transportation and Logistics Fund Direct Growth
Motherson Sumi Wiring India Ltd.,Automobile,Equity,6131.65,ICICI Prudential Transportation and Logistics Fund Direct Growth
Container Corporation Of India Ltd.,Services,Equity,3433.724,ICICI Prudential Transportation and Logistics Fund Direct Growth
