Unnamed: 0,Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
41,State Bank of India,Financial,Equity,69193.15,ICICI Prudential Value Discovery Direct Growth
42,Housing Development Finance Corporation Ltd.,Financial,Equity,69193.15,ICICI Prudential Value Discovery Direct Growth
47,Hindalco Industries Ltd.,Metals & Mining,Equity,44283.616,ICICI Prudential Value Discovery Direct Growth
48,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,38748.164,ICICI Prudential Value Discovery Direct Growth
49,Bharat Petroleum Corporation Ltd.,Energy,Equity,38748.164,ICICI Prudential Value Discovery Direct Growth
51,LIC Housing Finance Ltd.,Financial,Equity,38748.164,ICICI Prudential Value Discovery Direct Growth
52,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,35980.438,ICICI Prudential Value Discovery Direct Growth
53,Mahindra & Mahindra Ltd.,Automobile,Equity,35980.438,ICICI Prudential Value Discovery Direct Growth
54,Hero Motocorp Ltd.,Automobile,Equity,33212.712,ICICI Prudential Value Discovery Direct Growth
57,Lupin Ltd.,Healthcare,Equity,30444.986,ICICI Prudential Value Discovery Direct Growth
60,SBI Life Insurance Company Ltd.,Insurance,Equity,27677.26,ICICI Prudential Value Discovery Direct Growth
62,Maruti Suzuki India Ltd.,Automobile,Equity,22141.808,ICICI Prudential Value Discovery Direct Growth
66,Max Financial Services Ltd.,Financial,Equity,19374.082,ICICI Prudential Value Discovery Direct Growth
79,Tech Mahindra Ltd.,Technology,Equity,11070.904,ICICI Prudential Value Discovery Direct Growth
81,Alkem Laboratories Ltd.,Healthcare,Equity,11070.904,ICICI Prudential Value Discovery Direct Growth
82,Cummins India Ltd.,Capital Goods,Equity,11070.904,ICICI Prudential Value Discovery Direct Growth
