0,1,2,3,4,5,6,7
1,Dai-Ichi Karkaria Ltd.,4.79,4.79,4.79,4.79,4.79,13.28
2,E.I.D. - Parry (India) Ltd.,3.51,3.51,3.51,3.51,3.51,306.18
3,GOCL Corporation Ltd.,1.78,1.78,1.79,1.79,1.79,26.88
4,Hindustan Oil Exploration Company Ltd.,1.93,1.92,1.92,1.93,1.93,34.37
5,Swelect Energy Systems Ltd.,4.79,4.79,-,4.79,4.79,23.24
6,Uni Abex Alloy Products Ltd.,3.95,3.95,3.95,3.95,3.95,7.45
7,Century Textiles & Industries Ltd.,2.06,2.06,2.06,2.06,2.06,149.36
8,NTC Industries Ltd.,1.56,1.56,1.56,1.56,1.56,1.35
9,Kalyani Investment Company Ltd.,1.02,-,1.02,1.02,1.02,8.11
10,UFO Moviez India Ltd.,-,-,1.03,1.05,1.05,2.73
