0,1,2,3,4,5,6,7
1,KBC Global Ltd.,1.06,-,-,-,-,0
2,Om Infra Ltd.,1.85,1.80,1.80,1.80,1.82,6.34
3,Quantum Digital Vision (India) Ltd.,2.60,2.60,2.60,2.60,2.60,0.11
4,Rama Steel Tubes Ltd.,1.64,1.19,-,-,-,0
5,Systematix Corporate Services Ltd.,4.31,4.41,4.52,4.56,4.56,12.41
6,UR Sugar Industries Ltd.,-,4.91,4.96,5.15,5.14,3.45
7,V-Marc India Ltd.,-,-,-,3.88,Filing Due,4.09
8,Variman Global Enterprises Ltd.,-,2.68,3.01,3.58,3.63,9.91
9,Ajooni Biotech Ltd.,-,-,2.00,2.10,-,0
10,Uniinfo Telecom Services Ltd.,-,-,2.57,-,-,0
