0,1,2,3,4,5,6,7
1,Ashok Alco-Chem Ltd.,3.94,3.94,3.94,4.13,4.13,1.70
2,Duroply Industries Ltd.,3.10,3.10,3.10,4.79,4.79,4.99
3,Emkay Global Financial Services Ltd.,-,-,-,-,-,0
4,GATI Ltd.,1.02,1.02,1.02,1.02,-,0
5,Hindware Home Innovation Ltd.,1.63,-,-,1.05,1.05,27.02
6,HPL Electric & Power Ltd.,1.26,1.26,1.26,1.26,-,0
7,Kaya Ltd.,1.34,1.53,1.53,1.38,2.40,9.66
8,Orient Bell Ltd.,4.89,4.89,4.88,4.76,4.76,36.92
9,Praxis Home Retail Ltd.,1.06,1.06,1.06,1.06,-,0
10,RPSG Ventures Ltd.,1.74,1.73,1.73,1.56,1.56,18.32
11,Shalimar Paints Ltd.,2.21,1.55,1.55,1.55,1.55,16.51
12,Zee Media Corporation Ltd.,-,-,-,-,-,0
13,Ansal Buildwell Ltd.,2.03,2.03,2.03,2.03,2.03,1.11
14,Cupid Ltd.,1.27,1.27,1.27,-,-,0
15,Kerala Ayurveda Ltd.,2.37,2.37,2.37,2.37,1.89,1.83
16,Swelect Energy Systems Ltd.,1.12,1.12,-,-,-,0
17,Thejo Engineering Ltd.,-,1.38,-,-,Filing Due,0
18,Aurum Proptech Ltd.,1.05,1.05,1.68,2.00,2.01,15.54
19,Taneja Aerospace & Aviation Ltd.,1.07,1.20,1.20,1.20,1.20,4.03
20,TCM Ltd.,-,-,1.34,-,-,0
21,Lakshmi Automatic Loom Works Ltd.,-,-,-,-,1.05,0.55
22,Max India Ltd.,-,-,-,-,1.05,3.70
23,Priti International Ltd.,-,-,-,-,1.29,2.27
