0,1,2,3,4,5,6,7
1,Amco India Ltd.,3.41,3.41,3.41,3.41,Filing Due,0.83
2,Aneri Fincap Ltd.,8.47,8.47,-,-,Filing Due,0
3,Aroma Enterprises (India) Ltd.,1.02,1.02,1.02,-,Filing Due,0
4,Beeyu Overseas Ltd.,5.00,5.00,5.00,5.00,Filing Due,0.15
5,Bemco Hydraulics Ltd.,4.75,4.75,4.75,4.75,Filing Due,4.80
6,Century Enka Ltd.,5.38,5.38,5.38,5.38,Filing Due,42.82
7,Cochin Malabar Estates & Industries Ltd.,3.00,3.00,3.00,3.00,Filing Due,0.34
8,Cranex Ltd.,5.20,-,5.20,5.20,Filing Due,1.22
9,Dhunseri Investments Ltd.,1.80,1.80,1.80,1.80,Filing Due,6.81
10,DIC India Ltd.,6.33,6.33,6.48,6.63,Filing Due,23.56
11,Eastern Silk Industries Ltd.,2.31,2.31,2.31,2.31,Filing Due,0.36
12,Essar Securities Ltd.,7.00,7.00,-,-,Filing Due,0
13,Gujarat Poly Electronics Ltd.,-,5.50,5.50,5.50,Filing Due,1.49
14,Haria Exports Ltd.,4.34,4.34,4.34,4.34,Filing Due,0.26
15,Harrisons Malayalam Ltd.,5.00,5.00,5.00,5.00,Filing Due,10.54
16,Hindoostan Mills Ltd.,2.00,2.00,2.00,2.00,Filing Due,0.70
17,Hindustan Hardy Ltd.,3.35,3.35,3.35,3.35,Filing Due,1.29
18,ITD Cementation India Ltd.,2.33,2.33,2.33,2.33,Filing Due,44.73
19,Kiduja India Ltd.,4.31,4.31,4.31,4.31,Filing Due,0.42
20,Kinetic Engineering Ltd.,2.17,2.17,2.13,3.05,Filing Due,5.82
21,Mahasagar Travels Ltd.,6.32,6.32,6.32,6.32,Filing Due,0.25
22,MP Agro Industries Ltd.,4.37,4.37,4.37,4.37,4.37,0.17
23,National Oxygen Ltd.,1.59,1.59,1.59,1.59,Filing Due,0.69
24,National Steel & Agro Industries Ltd.,2.80,2.80,2.80,2.80,Filing Due,0.46
25,PAOS Industries Ltd,1.43,1.43,1.43,1.43,Filing Due,0.09
26,Polylink Polymers (India) Ltd.,3.18,3.18,3.18,3.18,Filing Due,1.34
27,Pradhin Ltd.,1.31,1.31,1.31,1.31,Filing Due,0.13
28,Ras Resorts & Apart Hotels Ltd.,1.51,1.51,1.51,1.51,Filing Due,0.17
29,Rasandik Engineering Industries India Ltd.,3.94,3.94,3.94,3.94,Filing Due,1.58
30,Roselabs Finance Ltd.,3.24,3.24,3.24,3.24,3.24,0.51
31,Shetron Ltd.,8.18,8.18,8.34,8.34,Filing Due,4.39
32,Shree Digvijay Cement Company Ltd.,1.53,1.53,1.53,1.53,Filing Due,14.35
33,Shree Hanuman Sugar & Industries Ltd.,4.05,4.05,4.05,4.05,Filing Due,
34,Shree Steel Wire Ropes Ltd.,4.97,4.97,4.97,4.97,Filing Due,0.49
35,Shriram Asset Management Company Ltd.,3.49,3.49,3.49,3.49,3.25,2.81
36,SPEL Semiconductor Ltd.,-,1.84,3.68,1.84,Filing Due,3.22
37,Standard Batteries Ltd.,1.58,1.58,1.58,1.58,Filing Due,0.22
38,Stanpacks (India) Ltd.,4.91,4.91,4.91,4.91,Filing Due,0.23
39,STEL Holdings Ltd.,4.49,4.49,4.49,4.49,4.49,12.19
40,Stellant Securities (India) Ltd.,4.96,4.96,4.96,4.96,Filing Due,0.04
41,Suncity Synthetics Ltd.,6.71,6.71,6.71,6.71,Filing Due,0.21
42,Tainwala Chemicals & Plastics (India) Ltd.,1.61,1.61,1.61,1.61,Filing Due,1.70
43,Tamilnadu Petroproducts Ltd.,4.68,4.68,4.68,4.68,Filing Due,32.53
44,Tarai Foods Ltd.,-,5.19,5.19,5.19,Filing Due,0.62
45,Thakkers Developers Ltd.,1.35,1.35,1.35,1.35,Filing Due,1.59
46,W.S. Industries (India) Ltd.,3.45,2.93,2.93,2.57,2.17,3.25
47,Williamson Magor & Company Ltd.,5.39,5.39,5.39,5.39,Filing Due,1.11
48,Zenith Steel Pipes & Industries Ltd.,7.03,7.03,7.03,7.03,Filing Due,4.60
49,KMF Builders & Developers Ltd.,4.96,4.96,4.96,4.96,Filing Due,0.23
50,VCK Capital Market Services Ltd.,1.66,1.66,-,1.66,Filing Due,0.46
51,Howard Hotels Ltd.,-,-,5.21,5.21,Filing Due,0.40
52,Garg Furnace Ltd.,3.25,3.25,3.25,3.25,Filing Due,0.56
53,Lippi Systems Ltd.,1.05,1.05,1.05,1.05,Filing Due,0.10
54,Cindrella Hotels Ltd.,-,1.09,1.09,1.09,Filing Due,0.19
