0,1,2,3,4,5,6,7
1,Andrew Yule & Company Ltd.,89.25,89.25,89.25,89.25,Filing Due,916.42
2,Balmer Lawrie Investments Ltd.,59.67,59.67,59.67,59.67,Filing Due,491.59
3,Bank Of Baroda,63.97,63.97,63.97,63.97,Filing Due,"55,212.53"
4,Bank Of India,81.41,81.41,81.41,81.41,Filing Due,"25,639.97"
5,Bank Of Maharashtra,90.97,90.97,90.97,90.97,Filing Due,"16,010.95"
6,BEML Ltd.,54.03,54.03,54.03,54.03,Filing Due,"2,858.58"
7,Bharat Dynamics Ltd.,74.93,74.93,74.93,74.93,Filing Due,"13,315.09"
8,Bharat Electronics Ltd.,51.14,51.14,51.14,51.14,Filing Due,"36,914.93"
9,Bharat Heavy Electricals Ltd.,63.17,63.17,63.17,63.17,Filing Due,"15,529.31"
10,Bharat Immunologicals & Biologicals Corporation Ltd.,59.25,59.25,59.25,59.25,Filing Due,62.78
11,Bharat Petroleum Corporation Ltd.,52.98,52.98,52.98,52.98,Filing Due,"38,155.77"
12,Canara Bank,62.93,62.93,62.93,62.93,Filing Due,"32,485.14"
13,Central Bank Of India,93.08,93.08,93.08,93.08,Filing Due,"20,079.34"
14,Coal India Ltd.,66.13,66.13,66.13,66.13,Filing Due,"90,351.89"
15,Cochin Shipyard Ltd.,72.86,72.86,72.86,72.86,Filing Due,"4,667.90"
16,Container Corporation Of India Ltd.,54.80,54.80,54.80,54.80,Filing Due,"19,053.62"
17,Engineers India Ltd.,51.32,51.32,51.32,51.32,Filing Due,"2,141.67"
18,GAIL (India) Ltd.,51.80,51.89,51.90,51.91,Filing Due,"35,991.50"
19,Garden Reach Shipbuilders & Engineers Ltd.,74.50,74.50,74.50,74.50,Filing Due,"3,933.80"
20,General Insurance Corporation of India,85.78,85.78,85.78,85.78,Filing Due,"21,136.66"
21,Hemisphere Properties India Ltd.,51.12,51.12,51.12,51.12,Filing Due,"1,319.24"
22,Hindustan Aeronautics Ltd.,75.15,75.15,75.15,75.15,Filing Due,"69,553.91"
23,Hindustan Copper Ltd.,66.14,66.14,66.14,66.14,Filing Due,"6,331.94"
