0,1,2,3,4,5,6,7
1,Bang Overseas Ltd.,4.14,4.14,4.14,-,4.14,2.05
2,Checkpoint Trends Ltd.,11.78,11.78,11.78,-,11.78,0.30
3,Garnet International Ltd.,7.70,7.70,7.70,7.70,7.70,9.00
4,Gini Silk Mills Ltd.,8.22,8.22,8.22,8.22,8.22,1.68
5,Interworld Digital Ltd.,2.12,2.12,2.12,2.12,2.12,0.33
6,JMD Ventures Ltd.,5.78,5.78,5.78,5.78,5.78,3.27
7,Mahan Industries Ltd.,9.14,9.14,9.14,9.14,9.14,0.15
8,Mathew Easow Research Securities Ltd.,9.62,9.62,9.62,9.62,9.62,0.37
9,North Eastern Carrying Corporation Ltd.,24.06,24.06,24.06,24.06,24.06,23.01
10,Orosil Smiths India Ltd.,4.42,4.42,-,4.42,4.42,0.68
11,Pankaj Polymers Ltd.,2.16,2.16,2.16,2.16,2.16,0.09
12,Regency Trust Ltd.,9.32,9.32,9.32,9.32,9.32,0.21
13,Solid Stone Company Ltd.,4.50,4.50,4.50,4.50,4.50,0.86
14,Thomas Scott (India) Ltd.,5.76,3.54,-,-,3.54,0.96
