0,1,2,3,4,5,6,7
1,Bannari Amman Sugars Ltd.,-,2.59,2.59,2.59,Filing Due,91.68
2,E.I.D. - Parry (India) Ltd.,1.17,1.17,1.17,1.17,Filing Due,102.06
3,Elgi Equipments Ltd.,1.69,1.69,1.69,1.69,Filing Due,248.48
4,Investment & Precision Castings Ltd.,10.00,10.00,10.00,10.00,10.00,14.93
5,Lakshmi Machine Works Ltd.,10.50,10.50,10.45,10.45,Filing Due,"1,161.69"
6,Rane Engine Valve Ltd.,1.01,1.01,1.01,1.01,Filing Due,1.55
7,Vascon Engineers Ltd.,4.04,4.04,4.04,4.04,Filing Due,23.92
8,Zodiac Clothing Company Ltd.,1.64,1.64,1.64,1.64,Filing Due,3.73
9,Asahi India Glass Ltd.,-,-,5.95,5.95,Filing Due,661.50
10,The Hi-Tech Gears Ltd.,-,-,4.45,-,Filing Due,0
