0,1,2,3,4,5,6,7
1,CSB Bank Ltd.,1.02,1.02,1.02,-,1.02,45.19
2,DCM Ltd.,1.07,1.07,1.07,1.07,1.07,1.45
3,Gayatri Highways Ltd.,2.16,2.16,2.16,2.16,2.16,0.39
4,Gayatri Projects Ltd.,3.84,3.84,3.84,3.84,3.84,4.38
5,IIFL Finance Ltd.,1.34,1.34,1.34,1.34,1.34,242.53
6,Intense Technologies Ltd.,1.69,1.39,-,-,1.39,2.09
7,Nath Bio-Genes (India) Ltd.,2.10,2.10,2.10,2.10,-,0
8,R.P.P. Infra Projects Ltd.,2.11,2.11,2.11,2.11,2.11,3.38
9,Sangam (India) Ltd.,2.44,2.22,2.22,2.14,2.10,22.16
10,Strides Pharma Science Ltd.,1.74,1.74,1.74,1.73,1.73,47.44
11,Suyog Telematics Ltd.,4.83,4.72,-,-,-,0
