0,1,2,3,4,5,6,7
1,21st Century Management Services Ltd.,7.81,7.81,7.81,7.81,7.81,1.74
2,Automotive Axles Ltd.,1.04,1.04,-,-,Filing Due,0
3,Greenply Industries Ltd.,-,-,-,-,Filing Due,0
4,HLE Glascoat Ltd.,1.87,1.87,1.62,1.31,Filing Due,46.73
5,Prince Pipes and Fittings Ltd.,-,-,-,-,Filing Due,0
6,Olectra Greentech Ltd.,-,-,-,-,Filing Due,0
7,AMI Organics Ltd.,2.47,2.33,2.20,2.20,Filing Due,75.17
8,Eveready Industries India Ltd.,1.45,1.45,1.38,1.17,Filing Due,25.19
9,Genesys International Corporation Ltd.,2.04,2.05,1.75,1.75,Filing Due,22.59
10,Ethos Ltd.,-,2.11,2.11,2.11,Filing Due,
11,Hariom Pipe Industries Ltd.,-,2.56,2.95,2.95,Filing Due,38.44
12,Jagsonpal Pharmaceuticals Ltd.,-,1.78,2.15,2.15,Filing Due,18.37
13,Vadilal Industries Ltd.,-,1.48,1.48,1.48,Filing Due,22.60
14,LG Balakrishnan & Bros Ltd.,-,-,1.03,-,Filing Due,0
15,Vesuvius India Ltd.,-,-,-,1.11,Filing Due,37.12
