0,1,2,3,4,5,6,7
1,Bharat Bijlee Ltd.,5.73,5.73,5.73,3.43,Filing Due,51.63
2,Centum Electronics Ltd.,1.60,1.60,1.60,1.83,Filing Due,17.72
3,Garware Hi-Tech Films Ltd.,3.00,2.55,2.55,2.55,Filing Due,32.06
4,Golden Tobacco Ltd.,1.19,1.19,-,-,Filing Due,0
5,Hathway Bhawani Cabletel & Datacom Ltd.,-,-,-,1.17,Filing Due,0.17
6,High Energy Batteries (India) Ltd.,4.35,4.35,4.35,6.38,6.38,19.29
7,HT Media Ltd.,1.04,-,-,-,Filing Due,0
8,Mafatlal Industries Ltd.,1.57,-,-,1.51,Filing Due,4.69
9,Mangalam Cement Ltd.,5.65,-,-,-,Filing Due,0
10,Manugraph India Ltd.,1.36,1.36,1.36,2.19,Filing Due,1.10
11,Rana Sugars Ltd.,1.04,1.04,1.04,1.04,-,0
12,Rubfila International Ltd.,30.31,30.31,30.31,35.74,Filing Due,131.60
13,Setco Automotive Ltd.,1.06,1.06,1.06,1.06,Filing Due,0.94
14,Shree Rajasthan Syntex Ltd.,1.46,1.46,1.46,4.38,Filing Due,0.22
15,SMIFS Capital Markets Ltd.,5.79,5.79,5.79,5.79,5.79,1.29
16,Texmaco Infrastructure & Holdings Ltd.,8.61,8.69,8.61,11.88,Filing Due,80.69
17,Transpek Industry Ltd.,-,-,0.00,-,Filing Due,0
18,Zenotech Laboratories Ltd.,3.98,-,-,1.99,Filing Due,5.96
19,Zuari Agro Chemicals Ltd.,5.92,1.60,1.05,2.61,Filing Due,13.92
20,Alphageo (India) Ltd.,-,-,-,1.84,Filing Due,2.56
21,Morarjee Textiles Ltd.,-,-,-,4.80,Filing Due,3.37
