0,1,2,3,4,5,6,7
1,Acrow India Ltd.,2.42,-,2.42,2.42,Filing Due,1.46
2,Apcotex Industries Ltd.,1.12,1.12,1.12,1.12,Filing Due,28.12
3,ASI Industries Ltd.,1.18,1.18,1.18,1.18,1.18,1.30
4,Elegant Marbles & Grani Industries Ltd.,1.50,1.18,1.18,1.18,Filing Due,0.46
5,Inter State Oil Carrier Ltd.,2.00,2.00,-,-,Filing Due,0
6,MPF Systems Ltd.,1.06,1.06,-,-,Filing Due,0
7,Pankaj Polymers Ltd.,1.91,-,1.91,1.91,Filing Due,0.08
8,Sonal Adhesives Ltd.,1.81,1.72,-,-,Filing Due,0
9,Aplab Ltd.,1.17,1.17,1.17,1.17,-,0
10,Banaras Beads Ltd.,-,1.69,-,1.73,Filing Due,0.90
11,Elnet Technologies Ltd.,1.07,1.07,1.07,1.07,Filing Due,0.71
12,Jumbo Bag Ltd.,2.03,2.03,2.03,2.03,Filing Due,0.32
