0,1,2,3,4,5,6,7
1,Aries Agro Ltd.,1.34,1.25,1.10,-,Filing Due,0
2,Butterfly Gandhimathi Appliances Ltd.,1.79,-,-,-,Filing Due,0
3,Deepak Spinners Ltd.,1.42,1.17,1.21,1.16,1.16,1.98
4,KCP Ltd.,3.70,3.39,3.04,2.43,Filing Due,33.30
5,Mangalore Chemicals & Fertilizers Ltd.,1.66,1.46,1.37,1.24,Filing Due,14.89
6,NCL Industries Ltd.,1.60,1.53,1.31,1.70,-,0
7,Nitin Spinners Ltd.,1.77,1.54,1.52,1.39,Filing Due,19.61
8,Polyplex Corporation Ltd.,1.30,1.25,1.17,-,Filing Due,0
9,Rain Industries Ltd.,1.02,-,-,-,Filing Due,0
10,Rama Phosphates Ltd.,2.56,2.23,1.72,1.54,Filing Due,6.29
11,RSWM Ltd.,1.30,1.06,-,-,Filing Due,0
12,Talbros Automotive Components Ltd.,1.13,1.10,1.22,1.18,Filing Due,6.36
13,New Delhi Television Ltd.,1.29,1.00,-,-,Filing Due,0
14,Ajanta Soya Ltd.,1.46,1.53,1.54,1.48,Filing Due,3.91
15,Control Print Ltd.,1.06,1.03,1.03,1.02,Filing Due,8.98
16,Indo Tech Transformers Ltd.,1.15,-,-,-,Filing Due,0
17,Monte Carlo Fashions Ltd.,-,1.78,2.49,2.54,Filing Due,35.42
18,Prakash Pipes Ltd.,2.39,2.71,2.78,2.83,Filing Due,9.89
19,Simran Farms Ltd.,2.03,2.02,2.17,2.17,Filing Due,0.89
20,Tinna Rubber And Infrastructure Ltd.,1.60,1.83,1.67,1.62,1.41,5.32
21,Goa Carbon Ltd.,1.38,1.08,-,-,-,0
22,Khaitan Chemicals & Fertilizers Ltd.,1.02,-,-,-,Filing Due,0
23,Nahar Spinning Mills Ltd.,1.06,-,-,-,Filing Due,0
24,Sandur Manganese & Iron Ores Ltd.,1.53,-,-,-,Filing Due,0
25,Sharda Cropchem Ltd.,1.38,1.20,1.02,-,Filing Due,0
26,Chennai Petroleum Corporation Ltd.,-,3.27,2.57,2.20,2.12,78.15
27,Manali Petrochemicals Ltd.,-,1.09,1.06,-,Filing Due,0
28,National Oxygen Ltd.,-,1.08,1.08,1.19,Filing Due,0.51
29,Pondy Oxides & Chemicals Ltd.,-,3.91,3.37,3.12,Filing Due,11.96
30,Suryoday Small Finance Bank Ltd.,-,1.16,-,-,Filing Due,0
31,Zuari Industries Ltd.,-,1.17,1.19,-,Filing Due,0
32,J Kumar Infraprojects Ltd.,-,-,1.08,-,Filing Due,0
