0,1,2,3,4,5,6,7
1,Bansisons Tea Industries Ltd.,0.32,0.32,0.32,0.32,0.32,0.02
2,Caplin Point Laboratories Ltd.,1.32,1.32,1.32,1.32,1.32,61.48
3,Heranba Industries Ltd.,1.06,1.06,1.06,1.06,-,0
4,NIIT Ltd.,2.33,2.33,2.32,2.32,2.31,109.88
5,Rupa & Company Ltd.,1.34,1.35,1.35,1.35,1.35,23.72
6,Shaily Engineering Plastics Ltd.,4.43,-,4.43,4.43,4.43,46.28
7,Stylam Industries Ltd.,1.35,1.35,1.35,1.24,1.24,22.35
8,Worldwide Aluminium Ltd.,0.04,0.04,0.04,0.04,0.04,0.00
9,Kretto Syscon Ltd.,1.83,1.83,1.83,1.83,1.83,0.16
10,SSPN Finance Ltd.,-,1.27,-,1.27,Filing Due,0.04
11,Fineotex Chemical Ltd.,-,-,1.35,1.26,1.26,32.98
12,Repro India Ltd.,-,-,1.34,1.34,1.34,6.69
