0,1,2,3
quant-focused-fund-direct-growth,Brigade Enterprises Ltd.,Construction,2.8
quant-focused-fund-direct-growth,RHI Magnesita India Ltd.,Construction,2.6
quant-focused-fund-direct-growth,Birlasoft Ltd.,Technology,2.4
quant-focused-fund-direct-growth,EID-Parry (India) Ltd.,Consumer Staples,2.2
quant-focused-fund-direct-growth,Carborundum Universal Ltd.,Metals & Mining,2.2
quant-focused-fund-direct-growth,Sonata Software Ltd.,Technology,2.2
quant-focused-fund-direct-growth,KPIT Technologies Ltd.,Technology,2.1
mirae-asset-focused-fund-direct-growth,Infosys Ltd.,Technology,9.6
mirae-asset-focused-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
mirae-asset-focused-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
mirae-asset-focused-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
mirae-asset-focused-fund-direct-growth,State Bank of India,Financial,4.8
mirae-asset-focused-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
mirae-asset-focused-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
mirae-asset-focused-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
mirae-asset-focused-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
mirae-asset-focused-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
nippon-india-growth-fund-direct-growth,Infosys Ltd.,Technology,9.6
nippon-india-growth-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
nippon-india-growth-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
nippon-india-growth-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
nippon-india-growth-fund-direct-growth,State Bank of India,Financial,4.8
nippon-india-growth-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
nippon-india-growth-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
nippon-india-growth-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
nippon-india-growth-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
nippon-india-growth-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
invesco-india-mid-cap-fund-direct-growth,Infosys Ltd.,Technology,9.6
invesco-india-mid-cap-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
invesco-india-mid-cap-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
invesco-india-mid-cap-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
invesco-india-mid-cap-fund-direct-growth,State Bank of India,Financial,4.8
invesco-india-mid-cap-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
invesco-india-mid-cap-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
invesco-india-mid-cap-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
invesco-india-mid-cap-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
invesco-india-mid-cap-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
idfc-sterling-equity-fund-direct-growth,Infosys Ltd.,Technology,9.6
idfc-sterling-equity-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
idfc-sterling-equity-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
idfc-sterling-equity-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
idfc-sterling-equity-fund-direct-growth,State Bank of India,Financial,4.8
idfc-sterling-equity-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
idfc-sterling-equity-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
idfc-sterling-equity-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
idfc-sterling-equity-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
idfc-sterling-equity-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
tata-ethical-fund-direct-growth,Infosys Ltd.,Technology,9.6
tata-ethical-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
tata-ethical-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
tata-ethical-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
tata-ethical-fund-direct-growth,State Bank of India,Financial,4.8
tata-ethical-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
tata-ethical-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
tata-ethical-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
tata-ethical-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
tata-ethical-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
nippon-india-consumption-fund-direct-growth,Infosys Ltd.,Technology,9.6
nippon-india-consumption-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
nippon-india-consumption-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
nippon-india-consumption-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
nippon-india-consumption-fund-direct-growth,State Bank of India,Financial,4.8
nippon-india-consumption-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
nippon-india-consumption-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
nippon-india-consumption-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
nippon-india-consumption-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
nippon-india-consumption-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
dsp-blackrock-natural-resources-new-energy-fund-direct-growth,Infosys Ltd.,Technology,9.6
dsp-blackrock-natural-resources-new-energy-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
dsp-blackrock-natural-resources-new-energy-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
dsp-blackrock-natural-resources-new-energy-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
dsp-blackrock-natural-resources-new-energy-fund-direct-growth,State Bank of India,Financial,4.8
dsp-blackrock-natural-resources-new-energy-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
dsp-blackrock-natural-resources-new-energy-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
dsp-blackrock-natural-resources-new-energy-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
dsp-blackrock-natural-resources-new-energy-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
dsp-blackrock-natural-resources-new-energy-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
mirae-asset-emerging-bluechip-fund-direct-growth,Infosys Ltd.,Technology,9.6
mirae-asset-emerging-bluechip-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
mirae-asset-emerging-bluechip-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
mirae-asset-emerging-bluechip-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
mirae-asset-emerging-bluechip-fund-direct-growth,State Bank of India,Financial,4.8
mirae-asset-emerging-bluechip-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
mirae-asset-emerging-bluechip-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
mirae-asset-emerging-bluechip-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
mirae-asset-emerging-bluechip-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
mirae-asset-emerging-bluechip-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
icici-prudential-value-discovery-fund-direct-growth,Infosys Ltd.,Technology,9.6
icici-prudential-value-discovery-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
icici-prudential-value-discovery-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
icici-prudential-value-discovery-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
icici-prudential-value-discovery-fund-direct-growth,State Bank of India,Financial,4.8
icici-prudential-value-discovery-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
icici-prudential-value-discovery-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
icici-prudential-value-discovery-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
icici-prudential-value-discovery-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
icici-prudential-value-discovery-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
icici-prudential-india-opportunities-fund-direct-growth,Infosys Ltd.,Technology,9.6
icici-prudential-india-opportunities-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
icici-prudential-india-opportunities-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
icici-prudential-india-opportunities-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
icici-prudential-india-opportunities-fund-direct-growth,State Bank of India,Financial,4.8
icici-prudential-india-opportunities-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
icici-prudential-india-opportunities-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
icici-prudential-india-opportunities-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
icici-prudential-india-opportunities-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
icici-prudential-india-opportunities-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
icici-prudential-us-bluechip-equity-fund-direct-growth,Infosys Ltd.,Technology,9.6
icici-prudential-us-bluechip-equity-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
icici-prudential-us-bluechip-equity-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
icici-prudential-us-bluechip-equity-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
icici-prudential-us-bluechip-equity-fund-direct-growth,State Bank of India,Financial,4.8
icici-prudential-us-bluechip-equity-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
icici-prudential-us-bluechip-equity-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
icici-prudential-us-bluechip-equity-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
icici-prudential-us-bluechip-equity-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
icici-prudential-us-bluechip-equity-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
tata-mid-cap-growth-fund-direct-growth,Infosys Ltd.,Technology,9.6
tata-mid-cap-growth-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
tata-mid-cap-growth-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
tata-mid-cap-growth-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
tata-mid-cap-growth-fund-direct-growth,State Bank of India,Financial,4.8
tata-mid-cap-growth-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
tata-mid-cap-growth-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
tata-mid-cap-growth-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
tata-mid-cap-growth-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
tata-mid-cap-growth-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
mirae-asset-tax-saver-fund-direct-growth,Infosys Ltd.,Technology,9.6
mirae-asset-tax-saver-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
mirae-asset-tax-saver-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
mirae-asset-tax-saver-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
mirae-asset-tax-saver-fund-direct-growth,State Bank of India,Financial,4.8
mirae-asset-tax-saver-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
mirae-asset-tax-saver-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
mirae-asset-tax-saver-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
mirae-asset-tax-saver-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
mirae-asset-tax-saver-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
idfc-tax-advantage-elss-fund-direct-growth,Infosys Ltd.,Technology,9.6
idfc-tax-advantage-elss-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
idfc-tax-advantage-elss-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
idfc-tax-advantage-elss-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
idfc-tax-advantage-elss-fund-direct-growth,State Bank of India,Financial,4.8
idfc-tax-advantage-elss-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
idfc-tax-advantage-elss-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
idfc-tax-advantage-elss-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
idfc-tax-advantage-elss-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
idfc-tax-advantage-elss-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
iifl-focused-equity-growth-fund-direct-growth,Infosys Ltd.,Technology,9.6
iifl-focused-equity-growth-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
iifl-focused-equity-growth-fund-direct-growth,HDFC Bank Ltd.,Financial,7.3
iifl-focused-equity-growth-fund-direct-growth,Reliance Industries Ltd.,Energy,5.3
iifl-focused-equity-growth-fund-direct-growth,State Bank of India,Financial,4.8
iifl-focused-equity-growth-fund-direct-growth,Axis Bank Ltd.,Financial,4.7
iifl-focused-equity-growth-fund-direct-growth,Bharti Airtel Ltd.,Communication,3.3
iifl-focused-equity-growth-fund-direct-growth,Sona BLW Precision Forgings Ltd.,Automobile,3.2
iifl-focused-equity-growth-fund-direct-growth,Ashok Leyland Ltd.,Automobile,3.0
iifl-focused-equity-growth-fund-direct-growth,Muthoot Finance Ltd.,Financial,3.0
hsbc-midcap-equity-fund-direct-growth,Mastek Ltd.,Technology,4.1
hsbc-midcap-equity-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
hsbc-midcap-equity-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
hsbc-midcap-equity-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
hsbc-midcap-equity-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
hsbc-midcap-equity-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
hsbc-midcap-equity-fund-direct-growth,Arvind Ltd.,Textiles,3.2
hsbc-midcap-equity-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
hsbc-midcap-equity-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
hsbc-midcap-equity-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
sbi-fmcg-fund-direct-growth,Mastek Ltd.,Technology,4.1
sbi-fmcg-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
sbi-fmcg-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
sbi-fmcg-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
sbi-fmcg-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
sbi-fmcg-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
sbi-fmcg-fund-direct-growth,Arvind Ltd.,Textiles,3.2
sbi-fmcg-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
sbi-fmcg-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
sbi-fmcg-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
baroda-bnp-paribas-india-consumption-fund-direct-growth,Mastek Ltd.,Technology,4.1
baroda-bnp-paribas-india-consumption-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
baroda-bnp-paribas-india-consumption-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
baroda-bnp-paribas-india-consumption-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
baroda-bnp-paribas-india-consumption-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
baroda-bnp-paribas-india-consumption-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
baroda-bnp-paribas-india-consumption-fund-direct-growth,Arvind Ltd.,Textiles,3.2
baroda-bnp-paribas-india-consumption-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
baroda-bnp-paribas-india-consumption-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
baroda-bnp-paribas-india-consumption-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
canara-robeco-infrastructure-fund-direct-growth,Mastek Ltd.,Technology,4.1
canara-robeco-infrastructure-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
canara-robeco-infrastructure-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
canara-robeco-infrastructure-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
canara-robeco-infrastructure-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
canara-robeco-infrastructure-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
canara-robeco-infrastructure-fund-direct-growth,Arvind Ltd.,Textiles,3.2
canara-robeco-infrastructure-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
canara-robeco-infrastructure-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
canara-robeco-infrastructure-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
canara-robeco-equity-taxsaver-direct-growth,Mastek Ltd.,Technology,4.1
canara-robeco-equity-taxsaver-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
canara-robeco-equity-taxsaver-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
canara-robeco-equity-taxsaver-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
canara-robeco-equity-taxsaver-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
canara-robeco-equity-taxsaver-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
canara-robeco-equity-taxsaver-direct-growth,Arvind Ltd.,Textiles,3.2
canara-robeco-equity-taxsaver-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
canara-robeco-equity-taxsaver-direct-growth,V-Mart Retail Ltd.,Services,3.1
canara-robeco-equity-taxsaver-direct-growth,Polycab India Ltd.,Capital Goods,3.0
icici-prudential-manufacture-in-india-fund-direct-growth,Mastek Ltd.,Technology,4.1
icici-prudential-manufacture-in-india-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
icici-prudential-manufacture-in-india-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
icici-prudential-manufacture-in-india-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
icici-prudential-manufacture-in-india-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
icici-prudential-manufacture-in-india-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
icici-prudential-manufacture-in-india-fund-direct-growth,Arvind Ltd.,Textiles,3.2
icici-prudential-manufacture-in-india-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
icici-prudential-manufacture-in-india-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
icici-prudential-manufacture-in-india-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
taurus-discovery-fund-direct-growth,Mastek Ltd.,Technology,4.1
taurus-discovery-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
taurus-discovery-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
taurus-discovery-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
taurus-discovery-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
taurus-discovery-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
taurus-discovery-fund-direct-growth,Arvind Ltd.,Textiles,3.2
taurus-discovery-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
taurus-discovery-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
taurus-discovery-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
icici-prudential-infrastructure-fund-direct-growth,Mastek Ltd.,Technology,4.1
icici-prudential-infrastructure-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
icici-prudential-infrastructure-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
icici-prudential-infrastructure-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
icici-prudential-infrastructure-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
icici-prudential-infrastructure-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
icici-prudential-infrastructure-fund-direct-growth,Arvind Ltd.,Textiles,3.2
icici-prudential-infrastructure-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
icici-prudential-infrastructure-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
icici-prudential-infrastructure-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
bnp-paribas-dividend-yield-fund-direct-growth,Mastek Ltd.,Technology,4.1
bnp-paribas-dividend-yield-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
bnp-paribas-dividend-yield-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
bnp-paribas-dividend-yield-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
bnp-paribas-dividend-yield-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
bnp-paribas-dividend-yield-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
bnp-paribas-dividend-yield-fund-direct-growth,Arvind Ltd.,Textiles,3.2
bnp-paribas-dividend-yield-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
bnp-paribas-dividend-yield-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
bnp-paribas-dividend-yield-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
kotak-infrastructure-economic-reform-fund-direct-growth,Mastek Ltd.,Technology,4.1
kotak-infrastructure-economic-reform-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
kotak-infrastructure-economic-reform-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
kotak-infrastructure-economic-reform-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
kotak-infrastructure-economic-reform-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
kotak-infrastructure-economic-reform-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
kotak-infrastructure-economic-reform-fund-direct-growth,Arvind Ltd.,Textiles,3.2
kotak-infrastructure-economic-reform-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
kotak-infrastructure-economic-reform-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
kotak-infrastructure-economic-reform-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
hdfc-small-cap-fund-direct-growth,Mastek Ltd.,Technology,4.1
hdfc-small-cap-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
hdfc-small-cap-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
hdfc-small-cap-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
hdfc-small-cap-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
hdfc-small-cap-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
hdfc-small-cap-fund-direct-growth,Arvind Ltd.,Textiles,3.2
hdfc-small-cap-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
hdfc-small-cap-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
hdfc-small-cap-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
canara-robeco-force-fund-direct-growth,Mastek Ltd.,Technology,4.1
canara-robeco-force-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
canara-robeco-force-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
canara-robeco-force-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
canara-robeco-force-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
canara-robeco-force-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
canara-robeco-force-fund-direct-growth,Arvind Ltd.,Textiles,3.2
canara-robeco-force-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
canara-robeco-force-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
canara-robeco-force-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
hdfc-mid-cap-opportunities-fund-direct-growth,Mastek Ltd.,Technology,4.1
hdfc-mid-cap-opportunities-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
hdfc-mid-cap-opportunities-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
hdfc-mid-cap-opportunities-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
hdfc-mid-cap-opportunities-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
hdfc-mid-cap-opportunities-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
hdfc-mid-cap-opportunities-fund-direct-growth,Arvind Ltd.,Textiles,3.2
hdfc-mid-cap-opportunities-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
hdfc-mid-cap-opportunities-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
hdfc-mid-cap-opportunities-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
baroda-bnp-paribas-multi-cap-fund-direct-growth,Mastek Ltd.,Technology,4.1
baroda-bnp-paribas-multi-cap-fund-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
baroda-bnp-paribas-multi-cap-fund-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
baroda-bnp-paribas-multi-cap-fund-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
baroda-bnp-paribas-multi-cap-fund-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
baroda-bnp-paribas-multi-cap-fund-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
baroda-bnp-paribas-multi-cap-fund-direct-growth,Arvind Ltd.,Textiles,3.2
baroda-bnp-paribas-multi-cap-fund-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
baroda-bnp-paribas-multi-cap-fund-direct-growth,V-Mart Retail Ltd.,Services,3.1
baroda-bnp-paribas-multi-cap-fund-direct-growth,Polycab India Ltd.,Capital Goods,3.0
canara-robeco-emerging-equities-direct-growth,Mastek Ltd.,Technology,4.1
canara-robeco-emerging-equities-direct-growth,Kei Industries Ltd.,Capital Goods,3.9
canara-robeco-emerging-equities-direct-growth,Amber Enterprises India Ltd.,Consumer Discretionary,3.8
canara-robeco-emerging-equities-direct-growth,Dixon Technologies (India) Ltd.,Capital Goods,3.8
canara-robeco-emerging-equities-direct-growth,APL Apollo Tubes Ltd.,Metals & Mining,3.7
canara-robeco-emerging-equities-direct-growth,Radico Khaitan Ltd.,Consumer Staples,3.3
canara-robeco-emerging-equities-direct-growth,Arvind Ltd.,Textiles,3.2
canara-robeco-emerging-equities-direct-growth,Laurus Labs Ltd.,Healthcare,3.1
canara-robeco-emerging-equities-direct-growth,V-Mart Retail Ltd.,Services,3.1
canara-robeco-emerging-equities-direct-growth,Polycab India Ltd.,Capital Goods,3.0
taurus-ethical-fund-direct-growth,Reliance Industries Ltd.,Energy,7.4
taurus-ethical-fund-direct-growth,Infosys Ltd.,Technology,5.5
taurus-ethical-fund-direct-growth,Cummins India Ltd.,Capital Goods,4.3
taurus-ethical-fund-direct-growth,Siemens Ltd.,Capital Goods,3.9
taurus-ethical-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.6
taurus-ethical-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,3.5
taurus-ethical-fund-direct-growth,KPR Mills Ltd.,Textiles,3.4
taurus-ethical-fund-direct-growth,Thermax Ltd.,Capital Goods,3.3
taurus-ethical-fund-direct-growth,Crisil Ltd.,Services,3.2
taurus-ethical-fund-direct-growth,NMDC Ltd.,Metals & Mining,3.0
tata-infrastructure-fund-direct-growth,Reliance Industries Ltd.,Energy,7.4
