0,1,2,3
pgim-india-midcap-opportunities-fund-direct-growth,ITC Ltd.,Consumer Staples,5.9
pgim-india-midcap-opportunities-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,4.6
pgim-india-midcap-opportunities-fund-direct-growth,Linde India Ltd.,Chemicals,4.2
pgim-india-midcap-opportunities-fund-direct-growth,TV18 Broadcast Ltd.,Services,4.1
pgim-india-midcap-opportunities-fund-direct-growth,Arvind Ltd.,Textiles,3.9
pgim-india-midcap-opportunities-fund-direct-growth,HFCL Ltd.,Communication,3.5
pgim-india-midcap-opportunities-fund-direct-growth,The India Cements Ltd.,Construction,3.4
pgim-india-midcap-opportunities-fund-direct-growth,Indiabulls Real Estate Ltd.,Construction,3.2
pgim-india-midcap-opportunities-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,3.1
pgim-india-midcap-opportunities-fund-direct-growth,National Aluminium Company Ltd.,Metals & Mining,2.9
icici-prudential-technology-fund-direct-growth,ITC Ltd.,Consumer Staples,5.9
icici-prudential-technology-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,4.6
icici-prudential-technology-fund-direct-growth,Linde India Ltd.,Chemicals,4.2
icici-prudential-technology-fund-direct-growth,TV18 Broadcast Ltd.,Services,4.1
icici-prudential-technology-fund-direct-growth,Arvind Ltd.,Textiles,3.9
icici-prudential-technology-fund-direct-growth,HFCL Ltd.,Communication,3.5
icici-prudential-technology-fund-direct-growth,The India Cements Ltd.,Construction,3.4
icici-prudential-technology-fund-direct-growth,Indiabulls Real Estate Ltd.,Construction,3.2
icici-prudential-technology-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,3.1
icici-prudential-technology-fund-direct-growth,National Aluminium Company Ltd.,Metals & Mining,2.9
quant-mid-cap-fund-direct-growth,ITC Ltd.,Consumer Staples,5.9
quant-mid-cap-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,4.6
quant-mid-cap-fund-direct-growth,Linde India Ltd.,Chemicals,4.2
quant-mid-cap-fund-direct-growth,TV18 Broadcast Ltd.,Services,4.1
quant-mid-cap-fund-direct-growth,Arvind Ltd.,Textiles,3.9
quant-mid-cap-fund-direct-growth,HFCL Ltd.,Communication,3.5
quant-mid-cap-fund-direct-growth,The India Cements Ltd.,Construction,3.4
quant-mid-cap-fund-direct-growth,Indiabulls Real Estate Ltd.,Construction,3.2
quant-mid-cap-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,3.1
quant-mid-cap-fund-direct-growth,National Aluminium Company Ltd.,Metals & Mining,2.9
kotak-midcap-fund-direct-growth,ITC Ltd.,Consumer Staples,5.9
kotak-midcap-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,4.6
kotak-midcap-fund-direct-growth,Linde India Ltd.,Chemicals,4.2
kotak-midcap-fund-direct-growth,TV18 Broadcast Ltd.,Services,4.1
kotak-midcap-fund-direct-growth,Arvind Ltd.,Textiles,3.9
kotak-midcap-fund-direct-growth,HFCL Ltd.,Communication,3.5
