0,1,2,3,4,5,6,7
1,Zenith Steel Pipes & Industries Ltd.,1.86,1.86,1.86,1.86,1.86,1.22
2,Birla Precision Technologies Ltd.,-,1.35,1.35,-,1.35,3.14
3,Gennex Laboratories Ltd.,-,-,3.56,-,2.52,2.72
