0,1,2,3,4,5,6,7
1,Acrow India Ltd.,1.09,-,-,-,Filing Due,0
2,Cenlub Industries Ltd.,1.00,1.00,1.00,1.00,Filing Due,1.20
3,Diamines & Chemicals Ltd.,2.90,2.90,2.90,2.90,Filing Due,11.87
4,Gopal Iron & Steels Company (Gujarat) Ltd.,-,-,-,-,Filing Due,0
5,Gujarat Apollo Industries Ltd.,2.37,2.38,2.35,2.35,Filing Due,5.39
6,Hilton Metal Forging Ltd.,1.17,-,-,-,Filing Due,0
7,Indo-National Ltd.,3.88,1.11,1.11,1.11,Filing Due,2.74
8,Jain Irrigation Systems Ltd.,-,-,-,-,Filing Due,0
9,JostS Engineering Company Ltd.,11.86,11.86,11.86,11.96,Filing Due,14.66
10,Laffans Petrochemicals Ltd.,1.06,-,-,1.06,Filing Due,0.34
11,Mazda Ltd.,2.28,2.28,2.28,2.48,Filing Due,6.33
12,MM Rubber Company Ltd.,1.60,1.60,1.60,1.60,Filing Due,1.03
13,Oriental Trimex Ltd.,-,1.01,-,-,Filing Due,0
14,RIR Power Electronics Ltd.,1.15,1.15,1.15,1.15,Filing Due,2.57
15,Samrat Pharmachem Ltd.,1.13,1.13,1.13,1.13,Filing Due,1.50
16,Shree Digvijay Cement Company Ltd.,1.46,1.46,1.46,1.46,Filing Due,13.69
17,Somi Conveyor Beltings Ltd.,-,-,-,-,Filing Due,0
18,Veljan Denison Ltd.,1.01,1.01,1.01,1.01,Filing Due,2.90
19,WEP Solutions Ltd.,7.18,7.18,7.15,7.15,Filing Due,5.04
20,WH Brady & Company Ltd.,1.09,1.09,1.09,1.09,Filing Due,0.72
21,Brahmaputra Infrastructure Ltd.,3.10,3.10,3.10,2.24,Filing Due,1.89
22,SPEL Semiconductor Ltd.,-,1.08,2.18,1.10,Filing Due,1.92
23,Prevest Denpro Ltd.,1.04,1.06,1.06,1.10,Filing Due,4.23
24,Barak Valley Cements Ltd.,-,1.31,-,1.31,Filing Due,0.74
25,High Energy Batteries (India) Ltd.,-,-,1.00,1.00,1.00,3.02
26,Jyoti Ltd.,-,-,1.46,1.73,Filing Due,0.65
27,Krishna Defence and Allied Industries Ltd.,-,-,1.05,-,Filing Due,
28,Aspinwall And Company Ltd.,-,-,-,1.16,Filing Due,1.89
