0,1,2,3,4,5,6,7
77,Modern Insulators Ltd.,1.24,1.24,-,-,Filing Due,0
78,Riddhi Steel & Tube Ltd.,4.05,-,4.05,4.05,Filing Due,1.58
79,Roopa Industries Ltd.,2.15,2.15,2.15,2.15,Filing Due,0.73
80,Tai Industries Ltd.,1.68,1.68,1.68,1.68,Filing Due,0.44
81,Tera Software Ltd.,1.25,1.25,1.25,1.25,Filing Due,0.59
82,The Peria Karamalai Tea And Produce Company Ltd.,-,3.73,-,-,Filing Due,0
83,Wellness Noni Ltd.,2.81,2.81,3.03,3.18,Filing Due,0.08
84,COSYN Ltd.,1.34,2.68,2.68,2.68,Filing Due,0.48
85,Rap Media Ltd.,1.11,1.31,1.31,1.31,Filing Due,0.20
86,Rapicut Carbides Ltd.,2.40,2.44,2.44,2.44,Filing Due,0.63
87,Rasandik Engineering Industries India Ltd.,1.44,1.44,1.44,1.44,Filing Due,0.58
88,Riba Textiles Ltd.,1.04,1.04,1.04,1.04,Filing Due,0.38
89,Terai Tea Company Ltd.,-,-,1.46,1.46,Filing Due,0.69
90,Deco-Mica Ltd.,1.32,1.64,1.73,1.73,Filing Due,0.40
91,Moongipa Capital Finance Ltd.,1.89,1.89,1.89,1.89,Filing Due,0.10
92,Premier Ltd.,1.58,1.87,1.87,1.87,Filing Due,0.12
93,Aspinwall And Company Ltd.,-,1.88,-,1.88,Filing Due,3.06
94,Globalspace Technologies Ltd.,-,1.09,1.09,1.09,Filing Due,0.47
95,Inducto Steel Ltd.,-,2.33,2.40,2.40,Filing Due,0.29
96,Loyal Equipments Ltd.,-,1.64,1.92,1.96,Filing Due,1.32
97,SSPDL Ltd.,-,1.45,2.32,2.43,2.43,0.47
98,TCM Ltd.,-,2.97,2.97,2.97,Filing Due,0.73
99,Carnation Industries Ltd.,-,-,1.69,1.69,Filing Due,0.03
100,Diana Tea Company Ltd.,-,-,1.43,1.43,Filing Due,0.51
101,Elixir Capital Ltd.,-,-,1.01,1.62,Filing Due,0.34
102,Indian Sucrose Ltd.,-,-,1.15,1.15,Filing Due,1.24
103,Majestic Auto Ltd.,-,-,1.00,1.00,Filing Due,1.49
104,Mercury Metals Ltd.,-,-,1.50,-,Filing Due,0
105,Saboo Sodium Chloro Ltd.,-,-,1.58,1.58,Filing Due,1.14
106,Suryavanshi Spinning Mills Ltd.,-,-,4.42,4.42,Filing Due,0.49
107,Ansal Housing Ltd.,-,-,-,1.68,Filing Due,0.61
108,CMX Holdings Ltd.,-,-,-,1.33,Filing Due,0.16
109,Euro Leder Fashion Ltd.,-,-,-,1.10,Filing Due,0.10
110,HB Portfolio Ltd.,-,-,-,1.10,Filing Due,0.45
111,Infomedia Press Ltd.,-,-,-,1.00,Filing Due,0.24
112,Panjon Ltd.,-,-,-,1.30,Filing Due,
113,Veejay Lakshmi Engineering Works Ltd.,-,-,-,1.55,Filing Due,0.28
