0,1,2,3,4,5,6,7
1,Agarwal Industrial Corporation Ltd.,0.69,0.63,-,-,Filing Due,0
2,Apollo Pipes Ltd.,3.81,3.81,3.81,3.81,Filing Due,80.53
3,Arman Financial Services Ltd.,5.06,4.76,4.71,4.71,Filing Due,56.81
4,Delta Corp Ltd.,1.12,1.20,1.50,1.12,Filing Due,57.36
5,Dhabriya Polywood Ltd.,10.48,10.48,10.48,10.48,Filing Due,13.73
6,Dishman Carbogen Amcis Ltd.,3.25,3.25,3.25,3.51,Filing Due,73.71
7,EKI Energy Services Ltd.,1.89,1.89,1.64,1.64,Filing Due,25.34
8,Eveready Industries India Ltd.,2.75,-,-,-,Filing Due,0
9,GATI Ltd.,5.69,5.69,5.69,5.38,Filing Due,81.07
10,GM Breweries Ltd.,-,1.41,-,-,Filing Due,0
11,Hindware Home Innovation Ltd.,1.38,1.38,2.76,1.38,Filing Due,35.51
12,Indian Metals & Ferro Alloys Ltd.,1.85,1.44,1.44,1.44,Filing Due,22.48
13,Indo Count Industries Ltd.,1.14,1.14,1.18,1.17,Filing Due,29.36
14,Infobeans Technologies Ltd.,5.17,5.15,5.15,5.15,Filing Due,63.41
15,Intellect Design Arena Ltd.,1.72,1.70,-,1.84,Filing Due,107.46
16,Ion Exchange (India) Ltd.,1.91,1.91,1.91,1.91,Filing Due,93.59
17,J Kumar Infraprojects Ltd.,2.78,2.64,2.64,2.64,Filing Due,50.82
18,JTEKT India Ltd.,1.29,1.29,1.50,1.64,Filing Due,41.30
19,Kamdhenu Ltd.,3.89,3.89,3.89,-,Filing Due,0
20,KDDL Ltd.,3.44,3.32,3.32,3.32,Filing Due,44.96
21,Kingfa Science & Technology (India) Ltd.,2.48,2.48,2.48,2.48,Filing Due,40.03
22,LT Foods Ltd.,1.72,1.72,1.72,1.25,Filing Due,42.93
23,Marksans Pharma Ltd.,1.22,1.22,-,-,Filing Due,0
24,Mastek Ltd.,1.04,1.05,-,-,Filing Due,0
25,Mitcon Consultancy & Engineering Services Ltd.,5.60,5.60,5.23,5.00,Filing Due,4.55
26,MPS Ltd.,4.46,4.46,4.46,4.46,Filing Due,71.95
27,Navkar Corporation Ltd.,-,-,-,-,Filing Due,0
