0,1,2,3,4,5,6,7
1,Bhilwara Technical Textiles Ltd.,4.97,4.97,4.97,-,5.06,4.35
2,DIC India Ltd.,1.11,1.11,1.11,-,1.11,3.94
3,Epic Energy Ltd.,2.69,-,-,-,-,0
4,Nexus Surgical And Medicare Ltd.,2.38,2.38,2.38,2.38,2.38,0.13
5,Perfect-Octave Media Projects Ltd.,1.13,1.13,1.13,1.13,1.13,0.07
6,Ramchandra Leasing & Finance Ltd.,1.09,1.09,1.09,1.09,-,0
7,Shree Rama Newsprint Ltd.,1.69,1.63,1.62,1.57,1.56,2.77
8,Intense Technologies Ltd.,1.13,-,-,-,-,0
9,KBC Global Ltd.,1.99,-,-,-,-,0
10,PALM Jewels Ltd.,1.50,-,-,-,-,0
11,Indo-National Ltd.,-,1.10,1.10,-,1.09,2.69
12,Markolines Pavement Technologies Ltd.,-,0.02,-,-,Filing Due,
13,RDB Realty & Infrastructure Ltd.,-,2.03,-,-,-,0
14,Shashijit Infraprojects Ltd.,-,1.07,-,-,-,0
15,Triveni Glass Ltd.,-,-,2.57,-,-,0
16,Ircon International Ltd.,-,-,-,1.10,-,0
17,JSW Ispat Special Products Ltd.,-,-,-,1.75,1.72,24.79
18,SMC Global Securities Ltd.,-,-,-,5.26,5.21,39.60
19,Tiger Logistics (India) Ltd.,-,-,-,2.48,-,0
20,Welcure Drugs & Pharmaceuticals Ltd.,-,-,-,1.61,-,0
