0,1,2,3,4,5,6,7
1,ADF Foods Ltd.,1.09,1.04,1.04,1.04,Filing Due,16.71
2,Ador Welding Ltd.,3.22,3.22,4.22,4.38,Filing Due,59.33
3,Birlasoft Ltd.,-,-,-,-,Filing Due,0
4,Carysil Ltd.,3.75,3.74,3.74,3.74,Filing Due,60.14
5,Garware Hi-Tech Films Ltd.,3.72,3.72,3.98,4.00,Filing Due,50.29
6,HLE Glascoat Ltd.,1.40,1.40,1.40,1.40,Filing Due,49.94
7,IOL Chemicals And Pharmaceuticals Ltd.,1.97,1.97,1.97,1.97,-,0
8,Mastek Ltd.,2.00,1.83,-,-,Filing Due,0
9,Mold-Tek Packaging Ltd.,3.09,1.89,-,-,Filing Due,0
10,NIIT Ltd.,2.24,2.24,2.23,2.23,Filing Due,106.08
11,PCBL Ltd.,1.33,1.33,1.87,1.88,Filing Due,81.36
12,Safari Industries (India) Ltd.,2.74,2.74,2.59,2.59,Filing Due,129.06
13,Shaily Engineering Plastics Ltd.,6.54,6.54,6.54,6.54,Filing Due,68.32
14,Vaibhav Global Ltd.,1.22,1.22,1.21,1.21,Filing Due,60.18
15,Vishnu Chemicals Ltd.,4.19,3.38,-,-,Filing Due,0
16,Beta Drugs Ltd.,-,-,-,5.72,Filing Due,38.49
17,Faze Three Ltd.,4.66,5.04,5.09,5.09,Filing Due,40.77
18,Hindware Home Innovation Ltd.,1.33,1.33,2.66,1.33,Filing Due,34.23
19,Kwality Pharmaceuticals Ltd.,1.95,1.90,-,-,Filing Due,0
20,Sastasundar Ventures Ltd.,1.88,1.88,1.88,1.88,Filing Due,14.26
21,TARC Ltd.,1.50,1.50,1.86,2.22,Filing Due,28.24
22,VRL Logistics Ltd.,1.37,1.37,-,-,Filing Due,0
23,Xpro India Ltd.,3.57,3.89,4.40,4.45,Filing Due,54.96
24,AMI Organics Ltd.,2.13,2.13,2.13,2.13,Filing Due,72.78
25,Bharat Bijlee Ltd.,1.79,1.79,1.79,1.79,Filing Due,26.94
26,Genesys International Corporation Ltd.,1.95,1.97,1.68,1.68,Filing Due,21.68
27,Igarashi Motors India Ltd.,1.27,-,-,-,Filing Due,0
28,La Opala RG Ltd.,1.05,1.42,1.59,1.59,Filing Due,63.06
29,SJS Enterprises Ltd.,3.77,3.77,3.84,4.43,Filing Due,
30,United Drilling Tools Ltd.,2.63,2.81,2.81,2.81,2.81,12.38
31,Yasho Industries Ltd.,2.55,2.60,2.60,3.82,Filing Due,66.10
32,Fineotex Chemical Ltd.,1.84,1.93,2.64,2.64,Filing Due,69.10
33,Gravita India Ltd.,1.35,1.81,1.96,2.08,Filing Due,72.12
34,Stove Kraft Ltd.,1.76,1.76,1.76,1.76,Filing Due,21.89
35,Barbeque-Nation Hospitality Ltd.,-,1.05,1.43,1.43,Filing Due,37.42
36,Creative Newtech Ltd.,-,2.83,-,2.70,Filing Due,14.74
37,Inflame Appliances Ltd.,-,4.21,4.21,-,Filing Due,0
38,Repro India Ltd.,-,3.60,3.60,3.60,Filing Due,17.98
39,Agarwal Industrial Corporation Ltd.,-,-,2.57,3.82,Filing Due,34.21
40,Arvind Fashions Ltd.,-,-,1.10,1.10,Filing Due,41.90
41,Best Agrolife Ltd.,-,-,1.46,2.25,Filing Due,57.32
42,D-Link (India) Ltd.,-,-,3.34,2.11,Filing Due,18.89
43,DU Digital Global Ltd.,-,-,4.97,-,Filing Due,
44,Megastar Foods Ltd.,-,-,1.04,1.13,Filing Due,2.51
45,Shankara Building Products Ltd.,-,-,1.97,1.97,Filing Due,28.68
46,Goldiam International Ltd.,-,-,-,1.01,Filing Due,15.36
47,Knowledge Marine & Engineering Works Ltd.,-,-,-,2.31,Filing Due,24.49
48,Likhitha Infrastructure Ltd.,-,-,-,2.01,Filing Due,19.95
49,Raghav Productivity Enhancers Ltd.,-,-,-,2.13,Filing Due,21.75
