0,1,2,3,4,5,6,7
1,Astrazeneca Pharma India Ltd.,2.06,2.18,1.72,2.39,Filing Due,198.04
2,Atul Ltd.,1.77,1.75,1.21,1.02,Filing Due,211.70
3,Centum Electronics Ltd.,3.25,3.25,3.25,3.25,Filing Due,31.47
4,KG Denim Ltd.,4.95,4.95,4.95,4.95,Filing Due,3.46
5,Nocil Ltd.,1.29,1.63,1.53,1.33,Filing Due,47.12
6,Rico Auto Industries Ltd.,-,-,-,-,Filing Due,0
7,Cosmo Ferrites Ltd.,1.49,2.83,2.98,2.98,Filing Due,7.74
8,ABM Knowledgeware Ltd.,-,-,2.59,2.83,Filing Due,4.63
9,Control Print Ltd.,-,-,1.15,-,Filing Due,0
10,OSIA Hyper Retail Ltd.,-,-,-,-,1.67,6.22
11,Sambandam Spinning Mills Ltd.,-,-,-,-,4.23,2.41
