0,1,2,3,4,5,6,7
1,Almondz Global Securities Ltd.,4.52,4.52,4.52,4.52,4.52,7.46
2,Aro Granite Industries Ltd.,6.13,6.01,12.02,6.01,6.01,3.59
3,Avonmore Capital & Management Services Ltd.,2.21,2.21,2.21,1.92,1.92,2.92
4,Diligent Media Corporation Ltd.,2.32,2.30,2.30,2.30,2.00,0.60
5,GOCL Corporation Ltd.,1.73,1.73,1.72,1.72,1.72,25.83
6,Hindustan Fluorocarbons Ltd.,1.85,-,-,1.85,-,0
7,NXTDigital Ltd.,4.10,4.09,4.09,4.09,4.09,15.66
8,Premier Explosives Ltd.,8.20,10.09,10.24,10.24,10.24,46.73
9,Religare Enterprises Ltd.,5.99,5.99,5.98,5.98,5.60,273.06
10,TRF Ltd.,1.71,1.71,1.65,1.65,1.65,2.93
11,Unitech Ltd.,4.60,4.53,4.53,4.53,4.53,15.41
12,Welspun Enterprises Ltd.,7.12,7.08,2.22,7.07,6.74,135.66
13,Welspun Specialty Solutions Ltd.,23.04,23.04,23.04,23.04,23.04,232.78
14,Saboo Sodium Chloro Ltd.,-,-,-,1.37,1.37,0.99
