0,1,2,3,4,5,6,7
1,ABC India Ltd.,3.36,3.36,3.36,3.37,3.37,1.34
2,Infomedia Press Ltd.,1.21,1.21,1.21,1.21,1.21,0.29
3,Kanoria Chemicals & Industries Ltd.,3.23,3.23,3.23,3.23,3.24,17.32
4,PDS Ltd.,6.21,6.21,6.21,6.31,6.32,281.59
5,Pearl Global Industries Ltd.,8.13,8.13,8.19,7.92,7.92,70.36
6,Vadilal Enterprises Ltd.,3.10,3.10,3.10,3.10,3.10,9.69
7,Vadilal Industries Ltd.,1.63,1.63,1.63,-,-,0
8,CL Educate Ltd.,1.19,1.19,1.19,1.10,-,0
9,Phoenix Township Ltd.,1.17,1.23,1.23,1.23,1.23,1.06
10,De Nora India Ltd.,-,1.07,1.27,-,-,0
11,Bengal & Assam Company Ltd.,-,-,1.23,1.25,1.25,50.02
