Fund-name,invested-firm,industry,percentage
quant-active-fund-direct-growth,Jindal Stainless Ltd.,Metals & Mining,5.9
quant-active-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,5.7
quant-active-fund-direct-growth,Bikaji Foods International Ltd.,Consumer Staples,4.2
quant-active-fund-direct-growth,HFCL Ltd.,Communication,3.3
quant-active-fund-direct-growth,The India Cements Ltd.,Construction,2.7
quant-active-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,2.5
quant-active-fund-direct-growth,TV18 Broadcast Ltd.,Services,2.3
canara-robeco-small-cap-fund-direct-growth,ITC Ltd.,Consumer Staples,7.4
canara-robeco-small-cap-fund-direct-growth,RBL Bank Ltd.,Financial,6.0
canara-robeco-small-cap-fund-direct-growth,Punjab National Bank,Financial,5.9
canara-robeco-small-cap-fund-direct-growth,Jindal Stainless Ltd.,Metals & Mining,5.9
canara-robeco-small-cap-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,5.7
canara-robeco-small-cap-fund-direct-growth,Bikaji Foods International Ltd.,Consumer Staples,4.2
canara-robeco-small-cap-fund-direct-growth,HFCL Ltd.,Communication,3.3
canara-robeco-small-cap-fund-direct-growth,The India Cements Ltd.,Construction,2.7
canara-robeco-small-cap-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,2.5
canara-robeco-small-cap-fund-direct-growth,TV18 Broadcast Ltd.,Services,2.3
pgim-india-midcap-opportunities-fund-direct-growth,ITC Ltd.,Consumer Staples,7.4
pgim-india-midcap-opportunities-fund-direct-growth,RBL Bank Ltd.,Financial,6.0
pgim-india-midcap-opportunities-fund-direct-growth,Punjab National Bank,Financial,5.9
pgim-india-midcap-opportunities-fund-direct-growth,Jindal Stainless Ltd.,Metals & Mining,5.9
pgim-india-midcap-opportunities-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,5.7
pgim-india-midcap-opportunities-fund-direct-growth,Bikaji Foods International Ltd.,Consumer Staples,4.2
pgim-india-midcap-opportunities-fund-direct-growth,HFCL Ltd.,Communication,3.3
pgim-india-midcap-opportunities-fund-direct-growth,The India Cements Ltd.,Construction,2.7
pgim-india-midcap-opportunities-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,2.5
pgim-india-midcap-opportunities-fund-direct-growth,TV18 Broadcast Ltd.,Services,2.3
icici-prudential-technology-fund-direct-growth,ITC Ltd.,Consumer Staples,7.4
icici-prudential-technology-fund-direct-growth,RBL Bank Ltd.,Financial,6.0
icici-prudential-technology-fund-direct-growth,Punjab National Bank,Financial,5.9
icici-prudential-technology-fund-direct-growth,Jindal Stainless Ltd.,Metals & Mining,5.9
icici-prudential-technology-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,5.7
icici-prudential-technology-fund-direct-growth,Bikaji Foods International Ltd.,Consumer Staples,4.2
icici-prudential-technology-fund-direct-growth,HFCL Ltd.,Communication,3.3
icici-prudential-technology-fund-direct-growth,The India Cements Ltd.,Construction,2.7
icici-prudential-technology-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,2.5
icici-prudential-technology-fund-direct-growth,TV18 Broadcast Ltd.,Services,2.3
quant-multi-asset-fund-direct-growth,ITC Ltd.,Consumer Staples,7.4
quant-multi-asset-fund-direct-growth,RBL Bank Ltd.,Financial,6.0
quant-multi-asset-fund-direct-growth,Punjab National Bank,Financial,5.9
quant-multi-asset-fund-direct-growth,Jindal Stainless Ltd.,Metals & Mining,5.9
quant-multi-asset-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,5.7
quant-multi-asset-fund-direct-growth,Bikaji Foods International Ltd.,Consumer Staples,4.2
quant-multi-asset-fund-direct-growth,HFCL Ltd.,Communication,3.3
quant-multi-asset-fund-direct-growth,The India Cements Ltd.,Construction,2.7
quant-multi-asset-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,2.5
quant-multi-asset-fund-direct-growth,TV18 Broadcast Ltd.,Services,2.3
nippon-india-small-cap-fund-direct-growth,ITC Ltd.,Consumer Staples,7.4
nippon-india-small-cap-fund-direct-growth,RBL Bank Ltd.,Financial,6.0
nippon-india-small-cap-fund-direct-growth,Punjab National Bank,Financial,5.9
nippon-india-small-cap-fund-direct-growth,Jindal Stainless Ltd.,Metals & Mining,5.9
nippon-india-small-cap-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,5.7
nippon-india-small-cap-fund-direct-growth,Bikaji Foods International Ltd.,Consumer Staples,4.2
nippon-india-small-cap-fund-direct-growth,HFCL Ltd.,Communication,3.3
nippon-india-small-cap-fund-direct-growth,The India Cements Ltd.,Construction,2.7
nippon-india-small-cap-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,2.5
nippon-india-small-cap-fund-direct-growth,TV18 Broadcast Ltd.,Services,2.3
tata-small-cap-fund-direct-growth,ITC Ltd.,Consumer Staples,7.4
tata-small-cap-fund-direct-growth,RBL Bank Ltd.,Financial,6.0
tata-small-cap-fund-direct-growth,Punjab National Bank,Financial,5.9
tata-small-cap-fund-direct-growth,Jindal Stainless Ltd.,Metals & Mining,5.9
tata-small-cap-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,5.7
tata-small-cap-fund-direct-growth,Bikaji Foods International Ltd.,Consumer Staples,4.2
tata-small-cap-fund-direct-growth,HFCL Ltd.,Communication,3.3
tata-small-cap-fund-direct-growth,The India Cements Ltd.,Construction,2.7
