Fund-name,invested-firm,industry,percentage
uti-mid-cap-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
uti-mid-cap-fund-direct-growth,Cipla Ltd.,Healthcare,12.6
uti-mid-cap-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
uti-mid-cap-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
uti-mid-cap-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
uti-mid-cap-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
uti-mid-cap-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
uti-mid-cap-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
uti-mid-cap-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
uti-mid-cap-fund-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
tata-infrastructure-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
tata-infrastructure-fund-direct-growth,Cipla Ltd.,Healthcare,12.6
tata-infrastructure-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
tata-infrastructure-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
tata-infrastructure-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
tata-infrastructure-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
tata-infrastructure-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
tata-infrastructure-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
tata-infrastructure-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
tata-infrastructure-fund-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
parag-parikh-long-term-value-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
parag-parikh-long-term-value-fund-direct-growth,Cipla Ltd.,Healthcare,12.6
parag-parikh-long-term-value-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
parag-parikh-long-term-value-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
parag-parikh-long-term-value-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
parag-parikh-long-term-value-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
parag-parikh-long-term-value-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
parag-parikh-long-term-value-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
parag-parikh-long-term-value-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
parag-parikh-long-term-value-fund-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
icici-prudential-select-large-cap-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
icici-prudential-select-large-cap-fund-direct-growth,Cipla Ltd.,Healthcare,12.6
icici-prudential-select-large-cap-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
icici-prudential-select-large-cap-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
icici-prudential-select-large-cap-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
icici-prudential-select-large-cap-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
icici-prudential-select-large-cap-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
icici-prudential-select-large-cap-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
icici-prudential-select-large-cap-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
icici-prudential-select-large-cap-fund-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
nippon-india-consumption-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
nippon-india-consumption-fund-direct-growth,Cipla Ltd.,Healthcare,12.6
nippon-india-consumption-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
nippon-india-consumption-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
nippon-india-consumption-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
nippon-india-consumption-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
nippon-india-consumption-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
nippon-india-consumption-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
nippon-india-consumption-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
nippon-india-consumption-fund-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
motilal-oswal-nifty-smallcap-250-index-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
motilal-oswal-nifty-smallcap-250-index-fund-direct-growth,Cipla Ltd.,Healthcare,12.6
motilal-oswal-nifty-smallcap-250-index-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
motilal-oswal-nifty-smallcap-250-index-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
motilal-oswal-nifty-smallcap-250-index-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
motilal-oswal-nifty-smallcap-250-index-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
motilal-oswal-nifty-smallcap-250-index-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
motilal-oswal-nifty-smallcap-250-index-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
motilal-oswal-nifty-smallcap-250-index-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
motilal-oswal-nifty-smallcap-250-index-fund-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
mahindra-top-250-nivesh-yojana-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
mahindra-top-250-nivesh-yojana-direct-growth,Cipla Ltd.,Healthcare,12.6
mahindra-top-250-nivesh-yojana-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
mahindra-top-250-nivesh-yojana-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
mahindra-top-250-nivesh-yojana-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
mahindra-top-250-nivesh-yojana-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
mahindra-top-250-nivesh-yojana-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
mahindra-top-250-nivesh-yojana-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
mahindra-top-250-nivesh-yojana-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
mahindra-top-250-nivesh-yojana-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
dsp-blackrock-india-tiger-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
dsp-blackrock-india-tiger-fund-direct-growth,Cipla Ltd.,Healthcare,12.6
dsp-blackrock-india-tiger-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
dsp-blackrock-india-tiger-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
dsp-blackrock-india-tiger-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
dsp-blackrock-india-tiger-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
dsp-blackrock-india-tiger-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
dsp-blackrock-india-tiger-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
dsp-blackrock-india-tiger-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
dsp-blackrock-india-tiger-fund-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
icici-prudential-manufacture-in-india-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
icici-prudential-manufacture-in-india-fund-direct-growth,Cipla Ltd.,Healthcare,12.6
icici-prudential-manufacture-in-india-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
icici-prudential-manufacture-in-india-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
icici-prudential-manufacture-in-india-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
icici-prudential-manufacture-in-india-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
icici-prudential-manufacture-in-india-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
icici-prudential-manufacture-in-india-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
icici-prudential-manufacture-in-india-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
icici-prudential-manufacture-in-india-fund-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
idfc-infrastructure-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
idfc-infrastructure-fund-direct-growth,Cipla Ltd.,Healthcare,12.6
idfc-infrastructure-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
idfc-infrastructure-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
idfc-infrastructure-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
idfc-infrastructure-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
idfc-infrastructure-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
idfc-infrastructure-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
idfc-infrastructure-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
idfc-infrastructure-fund-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
nippon-india-power-infra-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
nippon-india-power-infra-fund-direct-growth,Cipla Ltd.,Healthcare,12.6
nippon-india-power-infra-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
nippon-india-power-infra-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
nippon-india-power-infra-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
nippon-india-power-infra-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
nippon-india-power-infra-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
nippon-india-power-infra-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
nippon-india-power-infra-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
nippon-india-power-infra-fund-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
baroda-bnp-paribas-midcap-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,18.5
baroda-bnp-paribas-midcap-direct-growth,Cipla Ltd.,Healthcare,12.6
baroda-bnp-paribas-midcap-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,7.4
baroda-bnp-paribas-midcap-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,7.1
baroda-bnp-paribas-midcap-direct-growth,Alkem Laboratories Ltd.,Healthcare,6.0
baroda-bnp-paribas-midcap-direct-growth,Divi's Laboratories Ltd.,Healthcare,5.4
baroda-bnp-paribas-midcap-direct-growth,Fortis Healthcare Ltd.,Healthcare,5.3
baroda-bnp-paribas-midcap-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
baroda-bnp-paribas-midcap-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,3.1
baroda-bnp-paribas-midcap-direct-growth,Healthcare Global Enterprises Ltd.,Healthcare,3.0
sbi-magnum-comma-fund-direct-growth,Ambuja Cements Ltd.,Construction,8.8
sbi-magnum-comma-fund-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
sbi-magnum-comma-fund-direct-growth,Reliance Industries Ltd.,Energy,6.1
sbi-magnum-comma-fund-direct-growth,ACC Ltd.,Construction,5.5
sbi-magnum-comma-fund-direct-growth,Ultratech Cement Ltd.,Construction,5.3
sbi-magnum-comma-fund-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
sbi-magnum-comma-fund-direct-growth,NTPC Ltd.,Energy,5.0
sbi-magnum-comma-fund-direct-growth,Coal India Ltd.,Energy,4.9
sbi-magnum-comma-fund-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
sbi-magnum-comma-fund-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
icici-prudential-midcap-fund-direct-growth,Ambuja Cements Ltd.,Construction,8.8
icici-prudential-midcap-fund-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
icici-prudential-midcap-fund-direct-growth,Reliance Industries Ltd.,Energy,6.1
icici-prudential-midcap-fund-direct-growth,ACC Ltd.,Construction,5.5
icici-prudential-midcap-fund-direct-growth,Ultratech Cement Ltd.,Construction,5.3
icici-prudential-midcap-fund-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
icici-prudential-midcap-fund-direct-growth,NTPC Ltd.,Energy,5.0
icici-prudential-midcap-fund-direct-growth,Coal India Ltd.,Energy,4.9
icici-prudential-midcap-fund-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
icici-prudential-midcap-fund-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
jm-balanced-direct-growth,Ambuja Cements Ltd.,Construction,8.8
jm-balanced-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
jm-balanced-direct-growth,Reliance Industries Ltd.,Energy,6.1
jm-balanced-direct-growth,ACC Ltd.,Construction,5.5
jm-balanced-direct-growth,Ultratech Cement Ltd.,Construction,5.3
jm-balanced-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
jm-balanced-direct-growth,NTPC Ltd.,Energy,5.0
jm-balanced-direct-growth,Coal India Ltd.,Energy,4.9
jm-balanced-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
jm-balanced-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
icici-prudential-top-100-fund-direct-growth,Ambuja Cements Ltd.,Construction,8.8
icici-prudential-top-100-fund-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
icici-prudential-top-100-fund-direct-growth,Reliance Industries Ltd.,Energy,6.1
icici-prudential-top-100-fund-direct-growth,ACC Ltd.,Construction,5.5
icici-prudential-top-100-fund-direct-growth,Ultratech Cement Ltd.,Construction,5.3
icici-prudential-top-100-fund-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
icici-prudential-top-100-fund-direct-growth,NTPC Ltd.,Energy,5.0
icici-prudential-top-100-fund-direct-growth,Coal India Ltd.,Energy,4.9
icici-prudential-top-100-fund-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
icici-prudential-top-100-fund-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
hdfc-core-satellite-fund-direct-growth,Ambuja Cements Ltd.,Construction,8.8
hdfc-core-satellite-fund-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
hdfc-core-satellite-fund-direct-growth,Reliance Industries Ltd.,Energy,6.1
hdfc-core-satellite-fund-direct-growth,ACC Ltd.,Construction,5.5
hdfc-core-satellite-fund-direct-growth,Ultratech Cement Ltd.,Construction,5.3
hdfc-core-satellite-fund-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
hdfc-core-satellite-fund-direct-growth,NTPC Ltd.,Energy,5.0
hdfc-core-satellite-fund-direct-growth,Coal India Ltd.,Energy,4.9
hdfc-core-satellite-fund-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
hdfc-core-satellite-fund-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
kotak-asset-allocator-fund-direct-growth,Ambuja Cements Ltd.,Construction,8.8
kotak-asset-allocator-fund-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
kotak-asset-allocator-fund-direct-growth,Reliance Industries Ltd.,Energy,6.1
kotak-asset-allocator-fund-direct-growth,ACC Ltd.,Construction,5.5
kotak-asset-allocator-fund-direct-growth,Ultratech Cement Ltd.,Construction,5.3
kotak-asset-allocator-fund-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
kotak-asset-allocator-fund-direct-growth,NTPC Ltd.,Energy,5.0
kotak-asset-allocator-fund-direct-growth,Coal India Ltd.,Energy,4.9
kotak-asset-allocator-fund-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
kotak-asset-allocator-fund-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
invesco-india-mid-cap-fund-direct-growth,Ambuja Cements Ltd.,Construction,8.8
invesco-india-mid-cap-fund-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
invesco-india-mid-cap-fund-direct-growth,Reliance Industries Ltd.,Energy,6.1
invesco-india-mid-cap-fund-direct-growth,ACC Ltd.,Construction,5.5
invesco-india-mid-cap-fund-direct-growth,Ultratech Cement Ltd.,Construction,5.3
invesco-india-mid-cap-fund-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
invesco-india-mid-cap-fund-direct-growth,NTPC Ltd.,Energy,5.0
invesco-india-mid-cap-fund-direct-growth,Coal India Ltd.,Energy,4.9
invesco-india-mid-cap-fund-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
invesco-india-mid-cap-fund-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
sbi-fmcg-fund-direct-growth,Ambuja Cements Ltd.,Construction,8.8
sbi-fmcg-fund-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
sbi-fmcg-fund-direct-growth,Reliance Industries Ltd.,Energy,6.1
sbi-fmcg-fund-direct-growth,ACC Ltd.,Construction,5.5
sbi-fmcg-fund-direct-growth,Ultratech Cement Ltd.,Construction,5.3
sbi-fmcg-fund-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
sbi-fmcg-fund-direct-growth,NTPC Ltd.,Energy,5.0
sbi-fmcg-fund-direct-growth,Coal India Ltd.,Energy,4.9
sbi-fmcg-fund-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
sbi-fmcg-fund-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
franklin-build-india-fund-direct-growth,Ambuja Cements Ltd.,Construction,8.8
franklin-build-india-fund-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
franklin-build-india-fund-direct-growth,Reliance Industries Ltd.,Energy,6.1
franklin-build-india-fund-direct-growth,ACC Ltd.,Construction,5.5
franklin-build-india-fund-direct-growth,Ultratech Cement Ltd.,Construction,5.3
franklin-build-india-fund-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
franklin-build-india-fund-direct-growth,NTPC Ltd.,Energy,5.0
franklin-build-india-fund-direct-growth,Coal India Ltd.,Energy,4.9
franklin-build-india-fund-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
franklin-build-india-fund-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
birla-sun-life-infrastructure-fund-plan-a-direct-growth,Ambuja Cements Ltd.,Construction,8.8
birla-sun-life-infrastructure-fund-plan-a-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
birla-sun-life-infrastructure-fund-plan-a-direct-growth,Reliance Industries Ltd.,Energy,6.1
birla-sun-life-infrastructure-fund-plan-a-direct-growth,ACC Ltd.,Construction,5.5
birla-sun-life-infrastructure-fund-plan-a-direct-growth,Ultratech Cement Ltd.,Construction,5.3
birla-sun-life-infrastructure-fund-plan-a-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
birla-sun-life-infrastructure-fund-plan-a-direct-growth,NTPC Ltd.,Energy,5.0
birla-sun-life-infrastructure-fund-plan-a-direct-growth,Coal India Ltd.,Energy,4.9
birla-sun-life-infrastructure-fund-plan-a-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
birla-sun-life-infrastructure-fund-plan-a-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
hdfc-equity-fund-direct-growth,Ambuja Cements Ltd.,Construction,8.8
hdfc-equity-fund-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
hdfc-equity-fund-direct-growth,Reliance Industries Ltd.,Energy,6.1
hdfc-equity-fund-direct-growth,ACC Ltd.,Construction,5.5
hdfc-equity-fund-direct-growth,Ultratech Cement Ltd.,Construction,5.3
hdfc-equity-fund-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
hdfc-equity-fund-direct-growth,NTPC Ltd.,Energy,5.0
hdfc-equity-fund-direct-growth,Coal India Ltd.,Energy,4.9
hdfc-equity-fund-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
hdfc-equity-fund-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
icici-prudential-dynamic-plan-direct-growth,Ambuja Cements Ltd.,Construction,8.8
icici-prudential-dynamic-plan-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
icici-prudential-dynamic-plan-direct-growth,Reliance Industries Ltd.,Energy,6.1
icici-prudential-dynamic-plan-direct-growth,ACC Ltd.,Construction,5.5
icici-prudential-dynamic-plan-direct-growth,Ultratech Cement Ltd.,Construction,5.3
icici-prudential-dynamic-plan-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
icici-prudential-dynamic-plan-direct-growth,NTPC Ltd.,Energy,5.0
icici-prudential-dynamic-plan-direct-growth,Coal India Ltd.,Energy,4.9
icici-prudential-dynamic-plan-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
icici-prudential-dynamic-plan-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
icici-prudential-balanced-direct-growth,Ambuja Cements Ltd.,Construction,8.8
icici-prudential-balanced-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
icici-prudential-balanced-direct-growth,Reliance Industries Ltd.,Energy,6.1
icici-prudential-balanced-direct-growth,ACC Ltd.,Construction,5.5
icici-prudential-balanced-direct-growth,Ultratech Cement Ltd.,Construction,5.3
icici-prudential-balanced-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
icici-prudential-balanced-direct-growth,NTPC Ltd.,Energy,5.0
icici-prudential-balanced-direct-growth,Coal India Ltd.,Energy,4.9
icici-prudential-balanced-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
icici-prudential-balanced-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
canara-robeco-equity-taxsaver-direct-growth,Ambuja Cements Ltd.,Construction,8.8
canara-robeco-equity-taxsaver-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
canara-robeco-equity-taxsaver-direct-growth,Reliance Industries Ltd.,Energy,6.1
canara-robeco-equity-taxsaver-direct-growth,ACC Ltd.,Construction,5.5
canara-robeco-equity-taxsaver-direct-growth,Ultratech Cement Ltd.,Construction,5.3
canara-robeco-equity-taxsaver-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
canara-robeco-equity-taxsaver-direct-growth,NTPC Ltd.,Energy,5.0
canara-robeco-equity-taxsaver-direct-growth,Coal India Ltd.,Energy,4.9
canara-robeco-equity-taxsaver-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
canara-robeco-equity-taxsaver-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
uti-pharma-and-healthcare-fund-direct-growth,Ambuja Cements Ltd.,Construction,8.8
uti-pharma-and-healthcare-fund-direct-growth,Hindalco Industries Ltd.,Metals & Mining,7.9
uti-pharma-and-healthcare-fund-direct-growth,Reliance Industries Ltd.,Energy,6.1
uti-pharma-and-healthcare-fund-direct-growth,ACC Ltd.,Construction,5.5
uti-pharma-and-healthcare-fund-direct-growth,Ultratech Cement Ltd.,Construction,5.3
uti-pharma-and-healthcare-fund-direct-growth,CCL Products (India) Ltd.,Consumer Staples,5.0
uti-pharma-and-healthcare-fund-direct-growth,NTPC Ltd.,Energy,5.0
uti-pharma-and-healthcare-fund-direct-growth,Coal India Ltd.,Energy,4.9
uti-pharma-and-healthcare-fund-direct-growth,K.P.R. Mill Ltd.,Textiles,4.8
uti-pharma-and-healthcare-fund-direct-growth,Paradeep Phosphates Ltd.,Chemicals,4.3
sbi-infrastructure-fund-direct-growth,Reliance Industries Ltd.,Energy,8.6
sbi-infrastructure-fund-direct-growth,Bharti Airtel Ltd.,Communication,6.4
sbi-infrastructure-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.6
sbi-infrastructure-fund-direct-growth,HDFC Bank Ltd.,Financial,3.8
sbi-infrastructure-fund-direct-growth,Shree Cement Ltd.,Construction,3.7
sbi-infrastructure-fund-direct-growth,Carborundum Universal Ltd.,Metals & Mining,3.5
sbi-infrastructure-fund-direct-growth,Torrent Power Ltd.,Energy,3.4
sbi-infrastructure-fund-direct-growth,The Ramco Cements Ltd.,Construction,3.4
sbi-infrastructure-fund-direct-growth,Ahluwalia Contracts (India) Ltd.,Construction,3.3
sbi-infrastructure-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,3.3
pgim-india-elss-tax-saver-fund-direct-growth,Reliance Industries Ltd.,Energy,8.6
pgim-india-elss-tax-saver-fund-direct-growth,Bharti Airtel Ltd.,Communication,6.4
pgim-india-elss-tax-saver-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.6
pgim-india-elss-tax-saver-fund-direct-growth,HDFC Bank Ltd.,Financial,3.8
pgim-india-elss-tax-saver-fund-direct-growth,Shree Cement Ltd.,Construction,3.7
pgim-india-elss-tax-saver-fund-direct-growth,Carborundum Universal Ltd.,Metals & Mining,3.5
pgim-india-elss-tax-saver-fund-direct-growth,Torrent Power Ltd.,Energy,3.4
pgim-india-elss-tax-saver-fund-direct-growth,The Ramco Cements Ltd.,Construction,3.4
pgim-india-elss-tax-saver-fund-direct-growth,Ahluwalia Contracts (India) Ltd.,Construction,3.3
pgim-india-elss-tax-saver-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,3.3
franklin-india-high-growth-companies-fund-direct-growth,Reliance Industries Ltd.,Energy,8.6
franklin-india-high-growth-companies-fund-direct-growth,Bharti Airtel Ltd.,Communication,6.4
franklin-india-high-growth-companies-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.6
franklin-india-high-growth-companies-fund-direct-growth,HDFC Bank Ltd.,Financial,3.8
franklin-india-high-growth-companies-fund-direct-growth,Shree Cement Ltd.,Construction,3.7
franklin-india-high-growth-companies-fund-direct-growth,Carborundum Universal Ltd.,Metals & Mining,3.5
franklin-india-high-growth-companies-fund-direct-growth,Torrent Power Ltd.,Energy,3.4
franklin-india-high-growth-companies-fund-direct-growth,The Ramco Cements Ltd.,Construction,3.4
franklin-india-high-growth-companies-fund-direct-growth,Ahluwalia Contracts (India) Ltd.,Construction,3.3
franklin-india-high-growth-companies-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,3.3
franklin-infotech-fund-direct-growth,Reliance Industries Ltd.,Energy,8.6
franklin-infotech-fund-direct-growth,Bharti Airtel Ltd.,Communication,6.4
franklin-infotech-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.6
franklin-infotech-fund-direct-growth,HDFC Bank Ltd.,Financial,3.8
franklin-infotech-fund-direct-growth,Shree Cement Ltd.,Construction,3.7
franklin-infotech-fund-direct-growth,Carborundum Universal Ltd.,Metals & Mining,3.5
franklin-infotech-fund-direct-growth,Torrent Power Ltd.,Energy,3.4
franklin-infotech-fund-direct-growth,The Ramco Cements Ltd.,Construction,3.4
franklin-infotech-fund-direct-growth,Ahluwalia Contracts (India) Ltd.,Construction,3.3
franklin-infotech-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,3.3
tata-ethical-fund-direct-growth,Reliance Industries Ltd.,Energy,8.6
tata-ethical-fund-direct-growth,Bharti Airtel Ltd.,Communication,6.4
tata-ethical-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.6
