0,1,2,3,4,5,6,7
1,Agio Paper & Industries Ltd.,1.02,1.02,1.02,1.02,Filing Due,0.07
2,Ajanta Soya Ltd.,9.42,9.42,9.42,9.42,Filing Due,24.87
3,Alps Industries Ltd.,1.11,1.11,-,1.11,Filing Due,0.06
4,Amarjothi Spinning Mills Ltd.,2.28,2.28,2.28,2.28,Filing Due,2.74
5,Amco India Ltd.,3.80,3.80,3.80,3.80,Filing Due,0.92
6,AMD Industries Ltd.,4.49,4.49,4.49,4.49,Filing Due,4.90
7,Amin Tannery Ltd.,-,1.22,1.22,1.22,1.22,0.26
8,Anjani Portland Cement Ltd.,4.90,4.90,4.90,4.90,Filing Due,24.84
9,Anjani Synthetics Ltd.,1.27,1.27,1.27,1.27,Filing Due,0.51
10,APM Industries Ltd.,2.42,2.42,2.42,2.42,Filing Due,2.64
11,Aro Granite Industries Ltd.,1.31,2.62,1.31,1.31,Filing Due,0.78
12,Ashish Polyplast Ltd.,3.89,3.89,3.89,3.89,Filing Due,0.20
13,Ashok Alco-Chem Ltd.,4.65,4.65,4.65,4.65,Filing Due,1.92
14,ASI Industries Ltd.,1.02,1.02,1.01,1.01,1.01,1.11
15,B&A Ltd.,1.61,1.61,1.61,1.61,1.61,1.24
16,BCL Industries Ltd.,1.41,1.41,1.41,1.41,Filing Due,14.44
17,Bloom Dekor Ltd.,5.70,5.70,5.65,5.65,Filing Due,0.43
18,BNR Udyog Ltd.,5.27,5.27,5.27,5.27,Filing Due,0.68
19,Bright Brothers Ltd.,2.84,2.84,-,2.84,Filing Due,2.47
20,BSL Ltd.,3.99,3.99,3.99,3.99,Filing Due,6.97
21,Ceejay Finance Ltd.,1.13,1.13,1.13,1.13,Filing Due,0.39
22,Continental Controls Ltd.,1.76,1.76,1.76,1.76,Filing Due,0.04
23,Cosmo Ferrites Ltd.,3.04,2.89,2.89,2.89,Filing Due,7.51
24,D&H India Ltd.,2.88,2.88,2.88,2.74,Filing Due,1.27
25,Dhampure Speciality Sugars Ltd.,2.26,2.26,2.26,2.26,Filing Due,0.95
26,Dhoot Industrial Finance Ltd.,3.43,3.43,3.43,3.43,Filing Due,1.39
27,Divyashakti Ltd.,3.73,3.73,3.73,-,Filing Due,0
28,Dynamic Industries Ltd.,5.35,5.35,-,5.35,Filing Due,0.99
29,Elegant Marbles & Grani Industries Ltd.,1.87,1.87,1.87,1.87,Filing Due,0.73
30,Elnet Technologies Ltd.,3.36,3.36,3.36,3.36,Filing Due,2.24
31,Euro Leder Fashion Ltd.,2.98,2.98,2.92,2.92,Filing Due,0.27
32,FGP Ltd.,1.08,1.08,1.08,1.08,Filing Due,0.07
33,Fine-Line Circuits Ltd.,2.15,2.15,2.15,2.15,Filing Due,0.49
34,Flex Foods Ltd.,1.80,1.80,1.80,1.80,Filing Due,2.05
35,Gravity (India) Ltd.,4.34,4.34,4.29,4.29,Filing Due,0.16
36,Gujarat Intrux Ltd.,1.76,1.76,1.76,1.76,Filing Due,0.89
37,Hariyana Ship Breakers Ltd.,1.83,1.83,-,1.83,Filing Due,0.73
38,Haryana Leather Chemicals Ltd.,5.10,5.10,5.10,5.10,Filing Due,0.98
39,HG Industries Ltd.,3.13,3.13,2.81,2.81,Filing Due,1.55
40,Hilton Metal Forging Ltd.,2.83,2.83,2.34,1.67,Filing Due,4.05
41,Hindustan Tin Works Ltd.,4.87,4.87,4.87,4.87,Filing Due,4.81
42,Ind Renewable Energy Ltd.,1.10,1.10,1.06,1.06,Filing Due,0.04
43,India Gelatine & Chemicals Ltd.,4.93,4.93,4.93,4.93,Filing Due,9.85
44,Indo Amines Ltd.,3.53,3.53,3.53,3.53,Filing Due,19.98
45,Indokem Ltd.,-,2.06,2.06,2.06,Filing Due,5.13
46,Inter State Oil Carrier Ltd.,13.23,13.23,13.23,-,Filing Due,0
47,Ishita Drugs & Industries Ltd.,1.67,1.67,1.67,1.67,Filing Due,0.24
48,Jasch Industries Ltd.,3.08,3.08,3.08,3.08,3.08,5.92
49,Joindre Capital Services Ltd.,-,1.09,1.09,1.09,Filing Due,0.45
50,Kamdhenu Ltd.,1.02,1.02,1.02,1.02,Filing Due,9.96
51,Kanco Tea & Industries Ltd.,3.75,3.75,3.73,3.73,Filing Due,1.36
52,Krypton Industries Ltd.,4.94,4.94,4.94,4.94,Filing Due,1.43
53,Lahoti Overseas Ltd.,1.14,1.14,1.14,1.14,Filing Due,0.91
54,Lippi Systems Ltd.,5.03,5.03,5.03,5.03,Filing Due,0.48
55,Madhav Marbles And Granites Ltd.,8.09,8.09,8.09,8.09,Filing Due,3.03
56,Mayur Leather Products Ltd.,3.96,3.96,-,-,Filing Due,0
57,Medi-Caps Ltd.,5.57,5.57,5.57,5.57,Filing Due,2.51
58,Metal Coatings (India) Ltd.,1.15,1.15,1.15,1.15,Filing Due,0.68
59,Metroglobal Ltd.,-,1.03,1.03,1.03,Filing Due,1.02
60,MPDL Ltd.,1.25,1.25,1.25,1.25,Filing Due,0.21
61,MPS Pharmaa Ltd.,6.71,6.71,6.23,6.23,Filing Due,0.25
62,Mufin Green Finance Ltd.,2.41,2.41,2.05,2.05,Filing Due,12.30
63,Mukesh Babu Financial Services Ltd.,1.44,1.44,1.44,1.44,Filing Due,0.78
64,Nahar Capital And Financial Services Ltd.,1.45,1.45,1.45,1.45,Filing Due,6.55
65,National Plastic Industries Ltd.,1.36,1.36,1.36,1.36,Filing Due,0.50
66,National Steel & Agro Industries Ltd.,3.29,3.29,3.29,3.29,Filing Due,0.54
67,Natraj Proteins Ltd.,5.88,5.88,5.88,5.88,Filing Due,0.98
68,Natural Capsules Ltd.,3.50,3.50,3.50,3.50,Filing Due,13.40
69,Nitin Castings Ltd.,1.05,1.05,-,1.05,Filing Due,1.33
70,Omnitex Industries (India) Ltd.,1.18,1.18,-,-,Filing Due,0
71,Orient Beverages Ltd.,1.21,1.21,1.21,1.21,Filing Due,0.30
72,Oscar Global Ltd.,2.02,2.02,2.02,2.02,Filing Due,0.06
73,PAOS Industries Ltd,1.79,1.79,1.79,1.79,Filing Due,0.11
74,PBM Polytex Ltd.,1.35,1.35,1.35,1.35,Filing Due,0.84
75,Permanent Magnets Ltd.,1.12,1.12,1.12,1.12,Filing Due,9.04
76,PG Foils Ltd.,4.15,4.15,4.15,3.47,Filing Due,5.85
77,Pocl Enterprises Ltd.,2.77,2.77,2.77,2.77,Filing Due,2.03
78,Poddar Pigments Ltd.,1.35,1.35,1.35,1.35,Filing Due,3.89
79,Pondy Oxides & Chemicals Ltd.,-,2.01,2.01,2.01,Filing Due,7.70
80,Poona Dal & Oil Industries Ltd.,1.30,1.30,1.30,1.30,Filing Due,0.39
81,Prima Plastics Ltd.,1.72,1.72,1.72,1.72,Filing Due,1.94
82,Prime Urban Development India Ltd.,1.36,1.36,1.35,1.35,Filing Due,0.18
83,Priya Ltd.,1.37,1.37,1.37,1.37,Filing Due,0.07
84,Promact Impex Ltd.,3.62,3.62,3.61,3.61,Filing Due,0.07
85,Raj Packaging Industries Ltd.,1.94,1.94,1.94,1.94,Filing Due,0.46
86,Rajasthan Tube Manufacturing Company Ltd.,2.06,2.06,2.06,2.06,2.06,0.13
87,Rama Phosphates Ltd.,1.98,1.98,1.98,1.98,Filing Due,8.08
88,Rasandik Engineering Industries India Ltd.,1.59,1.59,1.59,1.59,Filing Due,0.64
89,Raunaq EPC International Ltd.,1.53,1.53,1.53,1.53,Filing Due,0.13
90,RDB Rasayans Ltd.,2.16,2.16,2.16,2.16,Filing Due,3.14
91,Remi Edelstahl Tubulars Ltd.,3.38,3.38,3.38,3.38,Filing Due,1.39
92,Remsons Industries Ltd.,1.06,1.06,1.06,1.06,Filing Due,1.43
93,Resonance Specialties Ltd.,-,1.57,1.57,1.57,Filing Due,1.35
94,Rexnord Electronics & Controls Ltd.,5.24,5.24,5.24,5.24,Filing Due,6.40
95,RTCL Ltd.,1.43,1.43,1.43,1.43,Filing Due,0.26
