0,1,2,3,4,5,6,7
1,Indian Metals & Ferro Alloys Ltd.,1.54,-,-,-,-,0
2,Jindal Drilling & Industries Ltd.,-,1.51,2.64,4.93,4.38,37.45
3,Jindal Poly Films Ltd.,4.69,4.71,4.69,-,-,0
4,Star Paper Mills Ltd.,-,-,-,1.97,3.13,7.56
5,Summit Securities Ltd.,-,1.19,1.19,1.19,1.19,7.55
6,The Sandesh Ltd.,-,1.82,1.94,1.94,1.94,13.76
7,Universus Photo Imagings Ltd.,4.14,-,-,-,-,0
8,Hinduja Global Solutions Ltd.,3.86,4.65,3.47,-,-,0
9,Savita Oil Technologies Ltd.,-,-,-,-,-,0
10,Andhra Paper Ltd.,-,-,1.58,1.62,1.68,28.72
11,Huhtamaki India Ltd.,-,-,-,2.89,-,0
12,TV Today Network Ltd.,-,-,-,2.29,3.04,35.63
13,Asahi Songwon Colors Ltd.,-,-,-,-,1.87,4.23
14,Panasonic Carbon India Company Ltd.,-,-,-,-,1.57,2.66
