0,1,2,3,4,5,6,7
1,ARC Finance Ltd.,3.57,3.57,3.57,3.57,3.57,1.24
2,Greencrest Financial Services Ltd.,8.83,8.83,8.83,8.83,8.83,2.36
3,JMJ Fintech Ltd.,14.12,14.12,14.12,14.12,14.12,2.68
4,Mukta Agriculture Ltd.,12.45,12.45,12.45,12.45,12.45,0.77
5,Mystic Electronics Ltd.,15.18,15.18,15.18,15.18,15.18,0.80
6,Premier Capital Services Ltd.,14.58,14.58,14.58,14.58,-,0
7,Voltaire Leasing & Finance Ltd.,6.57,6.57,6.57,6.57,6.57,0.41
8,Rishi Laser Ltd.,4.25,-,-,-,-,0
9,Inland Printers Ltd.,-,-,2.03,-,-,0
10,Olympic Oil Industries Ltd.,-,-,1.18,-,-,0
11,Deep Diamond India Ltd.,-,-,-,4.24,-,0
