0,1,2,3,4,5,6,7
1,Algoquant Fintech Ltd.,1.32,-,-,-,-,0
2,Amco India Ltd.,6.02,6.07,6.05,6.03,6.03,1.46
3,Kesar Enterprises Ltd.,2.50,2.73,2.74,2.89,3.00,0.97
4,Kesar Terminals & Infrastructure Ltd.,1.93,-,2.02,2.12,2.39,0.93
5,Mahaan Foods Ltd.,4.53,4.53,4.53,4.53,4.53,0.42
6,Mawana Sugars Ltd.,2.45,1.94,1.42,1.26,-,0
7,Perfectpac Ltd.,1.31,1.31,1.31,1.36,1.62,0.56
8,Refnol Resins & Chemicals Ltd.,1.46,1.60,1.60,1.78,1.94,0.48
9,Regency Ceramics Ltd.,1.57,1.57,1.57,2.57,4.08,2.35
10,Sri Nachammai Cotton Mills Ltd.,8.67,9.10,9.77,19.52,9.81,1.37
11,Thambbi Modern Spinning Mills Ltd.,2.09,2.09,2.09,2.09,2.09,0.34
12,CMX Holdings Ltd.,1.62,2.43,2.45,2.45,2.45,0.30
13,Sri Lakshmi Saraswathi Textiles (Arni) Ltd.,3.36,3.44,3.42,3.41,3.33,0.35
14,Transwarranty Finance Ltd.,-,1.24,1.24,1.40,-,0
