,Name,Sector,Instrument,Assets
105,TCI Express Ltd.,Services,Equity,0.3%
106,Prudent Corporate Advisory Services Ltd.,Financial,Equity,0.3%
107,Bajaj Consumer Care Ltd.,Consumer Staples,Equity,0.3%
108,Equitas Small Finance Bank Ltd.,Financial,Equity,0.3%
109,L&T Technology Services Ltd.,Technology,Equity,0.3%
110,Sagar Cements Ltd.,Construction,Equity,0.3%
111,Dilip Buildcon Ltd.,Construction,Equity,0.3%
112,Samvardhana Motherson International Ltd.,Automobile,Equity,0.3%
113,Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.3%
114,Greenply Industries Ltd.,Consumer Staples,Equity,0.3%
115,Hindalco Industries Ltd.,Metals & Mining,Equity,0.3%
116,Gabriel India Ltd.,Automobile,Equity,0.3%
117,Rallis India Ltd.,Chemicals,Equity,0.3%
118,Data Patterns (India) Ltd.,Capital Goods,Equity,0.3%
119,Gateway Distriparks Ltd.,Services,Equity,0.3%
120,Graphite India Ltd.,Construction,Equity,0.3%
121,SBI Cards And Payment Services Ltd.,Financial,Equity,0.3%
122,Go Fashion (India) Ltd.,Services,Equity,0.2%
123,Zensar Technologies Ltd.,Technology,Equity,0.2%
124,Suprajit Engineering Ltd.,Automobile,Equity,0.2%
125,Balkrishna Industries Ltd.,Automobile,Equity,0.2%
126,Chemplast Sanmar Ltd.,Chemicals,Equity,0.2%
127,Orient Cement Ltd.,Construction,Equity,0.2%
128,Varroc Engineering Ltd.,Automobile,Equity,0.2%
129,Advanced Enzyme Technologies Ltd.,Chemicals,Equity,0.2%
130,Vardhman Textiles Ltd.,Textiles,Equity,0.2%
131,Aarti Pharmalabs Ltd.,Services,Equity,0.2%
132,Sundram Fasteners Ltd.,Capital Goods,Equity,0.2%
133,Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.2%
134,Can Fin Homes Ltd.,Financial,Equity,0.2%
135,SRF Ltd.,Diversified,Equity,0.2%
136,Bikaji Foods International Ltd.,Consumer Staples,Equity,0.1%
137,Avanti Feeds Ltd.,Consumer Staples,Equity,0.1%
